Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
1803,Lal 40728,20 56 6.00,+39 52 0.00,20 59 55.2,+40 15 31,+39˚4400.0,6.6,F8,15,5;19,33,17,5.3,5042.0A,
1804,32 Peg,22 16 42.00,+27 50 0.00,22 21 19.3,+28 19 49,+27˚4299.0,4.9,B8,17,7;24,31,21,11.1,5408.0--,
1805,Grb 3882,22 41 42.00,+44 1 0.00,22 46 10.2,+44 32 45,+43˚4300.0,5.8,F0,16,7;26,32,17,11.1,5514.0--,
1806,"Ci 20, 1382",22 42 30.00,+43 49 0.00,22 46 48.5,+44 19 50,+43˚4305.0,10.2,M5e,195,6;22,34,198,2.6,5520.0M,
1807,92 Aqr,23 11 42.00,-8 16 0.00,23 16 50.9,-07 43 36,-8˚6076.0,5.1,Mb,4,7;25,33,9,8.4,5630.0--,
1808,Tau Cas,23 42 12.00,+58 6 0.00,,,+57˚2804.0,5.1,K0,12,6;2I,30,,,0.00,
1809,61 Psc,00 42 36.00,+20 23 0.00,00 47 54.8,+20 55 31,+20˚105.0,6.6,F8,19,7;23,34,21,11.1,152.2--,
1810,Tau Psc,01 6. 12.00,+29 34 0.00,01 11 39.5,+30 05 22,+29˚190.0,4.7,K0,13,7;27,33,22,9.4,245.0--,
1811,Lal 2450,01 16 54.00,+18 10 0.00,01 22 17.8,+18 40 57,+17˚197.0,8,F8,33,7;24,42,37,9.6,281.0--,
1812,Nu Ari,02 33 6.00,+21 32 0.00,02 38 49.0,+21 57 40,+21˚362.0,5.4,A2,8,4;19,36,12,7.2,529.1--,
1813,Grb 631,03 9. 6.00,+50 34 0.00,,,+50˚729.0,5.3,K0,9,4;17,35,,,0.00,
1814,WB 617,03 35 18.00,-3 32 0.00,03 40 22.1,-03 13 00,-3˚592.0,6.7,F8,52,4;19,34,45,5.5,763.0--,
1815,Sigma 443 A,03 40 12.00,+41 9 0.00,03 47 02.0,+41 25 37,+41˚750.0,8.2,G5,40,5;22,40,42,3.1,805.0A,
1816,Sigma 443 B,03 40 12.00,+41 9 0.00,03 47 02.0,+41 25 37,+41˚750.0,8.8,G5,45,6;23,40,42,3.1,805.0A,
1817,91 Tau,04 33 24.00,+15 36 0.00,04 39 09.1,+15 47 59,+15˚665.0,5.2,A2,18,4;21,39,19,8.1,1026.1--,
1818,92 Tau,04 33 36.00,+15 43 0.00,04 39 16.4,+15 55 04,+15˚666.0,4.8,A3,18,4;19,40,18,6.4,1027.1--,
1819,1 Aur,04 43 12.00,+37 19 0.00,04 49 54.6,+37 29 17,+37˚969.0,5.1,K2,24,5;22,32,25,8.4,1071.1--,
1820,126 Tau,05 35 30.00,+16 29 0.00,05 41 17.6,+16 32 02,+16˚841.0,4.9,B3,12,6;24,32,12,8.8,1300.0--,
1821,CGA 7512,06 10 42.00,-9 0 0.00,06 15 26.0,-09 02 08,-8˚1368.0,6,B9,-3,5;23,36,,8.4,1456.1--,
1822,Lal 12104,06 15 0.00,-2 54 0.00,06 19 59.6,-02 56 39,-2˚1564.0,5.2,Ma,-3,5;22,31,1,6.5,1472.0--,
1823,Lal 13100,06 42 48.00,-8 53 0.00,,,-8˚1558.0,5.3,K5,2,5;21,32,,,0.00,
1824,Lal 15290,07 47 12.00,+30 55 0.00,07 53 33.2,+30 36 18,+31˚1684.0,8.2,G0,39,6;27,36,39,2.0,1857.0--,
1825,Grb 1368,07 49 6.00,+79 45 0.00,08 04 47.1,+79 28 47,+79˚265.0,5.3,A0,19,6;25,34,18,7.6,1868.0--,
1826,Fed 1221,07 57 12.00,+72 13 0.00,08 08 10.5,+71 55 27,+72˚395.0,8,G0,33,5;20,34,29,6.5,1909.0--,
1827,WB 1219,08 49 24.00,-5 3 0.00,08 54 17.9,-05 26 04,-4˚2490.0,6,G0,79,7;27,38,57,1.5,2130.0--,
1828,Omega Hyd,09 0. 42.00,+5 30 0.00,,,+5˚2116.0,5.4,K0,12,5;25,39,,,0.00,
1829,23 Hyd,09 11 42.00,-5 56 0.00,09 16 41.7,-06 21 11,-5˚2762.0,5.4,K0,-5,5;23,38,11,6.1,2208.0--,
1830,27 Hyd,09 15 36.00,-9 8 0.00,09 20 29.0,-09 33 21,-8˚2643.0,5,G5,22,7;28,34,21,9.7,2228.0A,
1831,31 UMa,09 49 12.00,+50 18 0.00,09 55 42.9,+49 49 11,+50˚1698.0,5.3,A2,20,6;24,32,24,9.8,2345.1--,
1832,Lamda UMa,10 11 6.00,+43 25 0.00,10 17 05.8,+42 54 51,+43˚2005.0,3.5,A2,29,6;24,42,25,8.4,2411.0--,
1833,Lal 22585,11 55 36.00,-9 53 0.00,12 00 44.3,-10 26 46,-9˚3413.0,5.6,G5,75,6;23,37,78,6.6,2767.0--,
1834,Grb 2044,13 42 0.00,+41 35 0.00,13 46 13.5,+41 05 19,+41˚2424.0,5.7,A3,9,7;27,35,12,11.1,3139.1--,
1835,4 UMi,14 9. 12.00,+78 1 0.00,14 08 50.9,+77 32 50,+78˚478.0,5,K0,19,7;27,33,8,7.9,3232.0--,
1836,32 Boot,14 36 54.00,+12 5 0.00,14 41 43.4,+11 39 38,+12˚2729.0,5.6,G5,21,6;24,38,23,9.8,3322.1--,
1837,Lal 27155,14 49 18.00,+23 45 0.00,14 53 41.5,+23 20 43,+23˚2751.0,8.5,K2,34,6;26,52,39,8.8,3368.0--,
1838,Ross 52,14 49 30.00,+23 58 0.00,14 53 53.4,+23 33 20,,11.1,M5,112,7;26,48,96,4.1,3369.0M,
1839,Lal 27951,15 14 24.00,+26 8 0.00,15 18 43.1,+25 46 17,+26˚2676.0,8.6,G0,6,7;31,58,8,11.1,3459.1--,
1840,Lal 27958,15 14 42.00,+26 4 0.00,15 18 59.0,+25 41 30,+26˚2677.0,8.1,G0,46,7;30,59,33,8.9,3461.0A,
1841,Kappa Her,16 3. 36.00,+17 19 0.00,16 08 04.5,+17 02 48,+17˚2964.0,5.3,G5,-2,7;24,35,2,6.0,3657.0A,
1842,16 Sco,16 6. 42.00,-8 17 0.00,16 12 07.3,-08 32 51,-8˚4180.0,5.5,A3,-12,6;21,38,-10,7.5,3675.0--,
1843,15 Dra,16 28 12.00,+68 59 0.00,16 27 58.9,+68 46 05,+69˚850.0,5,B8p,4,5;20,37,14,7.3,3763.0--,
1844,Lal 30999,16 53 48.00,+62 16 0.00,16 54 45.9,+62 05 58,+62˚1520.0,7,G5,11,6;24,36,13,9.8,3855.1--,
1845,Lal 31188,17 4. 18.00,-10 24 0.00,17 09 47.9,-10 31 23,-10˚4445.0,5.6,F5,13,6;21,37,14,9.8,3892.1--,
1846,Lal 32762,17 49 36.00,+11 9 0.00,17 54 14.1,+11 07 50,+11˚3283.0,6.3,F5,7,5;21,33,8,8.4,4085.1--,
1847,SZ Aql,18 59 36.00,+1 9 0.00,19 04 39.5,+01 18 21,+1˚3877.0,Var,K2,-8,5;20,41,-6,8.4,4429.1--,
1848,18 Aql,19 2. 18.00,+10 55 0.00,19 06 58.5,+11 04 16,+10˚3787.0,5.1,B8,12,6;25,34,15,9.8,4443.1--,
1849,WB 19h16,19 3. 48.00,+21 32 0.00,,,+21˚3672.0,6.2,F2,8,7;25,32,,,0.00,
1850,Lal 35998,19 5. 24.00,+34 26 0.00,19 09 04.3,+34 36 01,+34˚3439.0,6.5,G5,23,7;27,40,24,11.1,4466.1--,
1851,Lal 36513,19 16 6.00,+37 9 0.00,19 19 39.1,+37 19 51,+37˚3417.0,6.4,G5,39,6;22,32,40,9.8,4528.1--,
1852,66 Dra,20 4. 0.00,+61 42 0.00,20 05 32.8,+61 59 43,+61˚1970.0,5.6,K0,37,5;19,37,38,8.4,4781.1--,
1853,"Ci 20, 1206",20 21 24.00,+9 8 0.00,20 26 11.9,+09 27 00,+9˚4529.0,8.5,F5,23,6;25,46,18,1.6,4863.0--,
1854,5 Aqr,20 46 54.00,-5 53 0.00,20 52 08.7,-05 30 25,-6˚5606.0,5.5,B8,-25,5;18,33,-5,6.8,4987.0--,
1855,WB 1454,20 59 6.00,+2 36 0.00,21 04 07.4,+02 59 40,+2˚4295.0,8.1,F8,1,6;24,31,4,7.2,5063.0--,
1856,Lal 42741,21 50 18.00,+31 52 0.00,21 54 45.1,+32 19 43,+31˚4574.0,7.6,K0,33,6;22,43,43,8.2,5293.0--,
1857,GC 30677,21 50 30.00,+31 52 0.00,21 54 45.1,+32 19 43,+31˚4577.0,7.1,K5,-8,6;20,43,43,8.2,5293.0--,
1858,Wolf 1143,21 50 48.00,+32 10 0.00,21 55 16.6,+32 38 37,,10.8,G2,18,7;25,45,5,9.2,5296.0--,
1859,Lal 43319,22 6. 48.00,+35 46 0.00,22 11 11.9,+36 15 22,+35˚4725.0,7.2,K0,48,6;20,33,49,9.8,5368.1--,
1860,Lal 44318,22 34 24.00,+43 48 0.00,22 38 47.4,+44 18 50,+43˚4260.0,6.9,G0,37,5;18,37,32,4.5,5482.1M,
1861,Lal 45165,23 0. 12.00,+16 2 0.00,23 05 06.3,+16 33 47,+15˚4760.0,6.4,K0,19,6;23,38,24,8.2,5590.0--,
1862,Iota Psc,23 34 48.00,+5 5 0.00,23 39 57.0,+05 37 34,+4˚5035.0,4.3,F8,70,5;20,41,70,4.6,5724.0--,
1863,30 Psc,23 56 48.00,-6 34 0.00,00 01 57.6,-06 00 50,-6˚6345.0,4.7,Mb,-11,6;24,41,7,8.3,5806.0--,
1864,39 Cet,01 11 30.00,-3 2 0.00,01 16 36.2,-02 30 00,-3˚172.0,5.5,G0,13,7;29,35,16,11.1,260.1--,
1866,Iota Cas,02 20 48.00,+66 57 0.00,02 29 03.9,+67 24 08,+66˚213.0,4.6,A5p,18,11;47,42,22,11.0,493.0A,
1867,38 Ari,02 39 30.00,+12 1 0.00,02 44 57.5,+12 26 44,+11˚377.0,5.2,A3,22,5;21,36,26,8.4,557.1--,
1868,21 Per,02 51 12.00,+31 32 0.00,02 57 17.3,+31 56 02,+31˚509.0,5.2,A0p,-2,6;25,32,2,9.8,610.1--,
1869,GC 3674,02 58 0.00,+56 19 0.00,03 05 32.3,+56 42 20,+56˚767.0,5.1,K0,3,5;24,36,5,8.4,632.2--,
1870,3 Cam,04 32 0.00,+52 53 0.00,04 39 54.7,+53 04 47,+52˚865.0,5.3,K0,-9,6;28,34,-7,9.8,1019.1--,
1871,2 Cam,04 32 0.00,+53 17 0.00,04 39 58.1,+53 28 22,+53˚794.0,5.4,F0,13,7;30,33,18,7.7,1019.0--,
1872,GC 5802,04 40 30.00,+11 31 0.00,04 46 01.7,+11 42 19,+11˚646.0,5.4,A0,1,5;21,33,4,8.4,1059.1--,
1873,4 Aur,04 52 30.00,+37 44 0.00,04 59 15.3,+37 53 24,+37˚1005.0,5,A0,4,5;23,34,4,5.1,1112.0--,
1874,66 Eri,05 1. 48.00,-4 47 0.00,05 06 45.6,-04 39 19,-4˚1004.0,5.2,B9,19,5;21,30,23,8.4,1152.1--,
1875,106 Tau,05 1. 54.00,+20 17 0.00,05 07 48.4,+20 25 05,+20˚885.0,5.3,A3,3,5;21,34,6,8.4,1152.2--,
1876,GC 7587,05 55 6.00,-3 5 0.00,06 00 03.3,-03 04 27,-3˚1256.0,4.7,K0,16,5;24,37,22,6.1,1386.0--,
1877,GC 8020,06 7. 48.00,+69 21 0.00,06 18 50.8,+69 19 11,+69˚371.0,4.7,A0,5,4;18,38,10,6.0,1436.0--,
1878,45 Aur,06 13 36.00,+53 30 0.00,06 21 46.1,+53 27 08,+53˚1008.0,5.4,F5,22,5;20,36,24,8.4,1468.2--,
1879,A 5871,07 6. 36.00,+27 24 0.00,,,+27˚1337.0,6.4,F5,27,5;23,34,,,0.00,
1880,8 Cnc,07 59 30.00,+13 24 0.00,08 05 04.5,+13 07 05,+13˚1831.0,5.1,A0,18,5;22,34,21,8.4,1917.1--,
1881,3 UMa,08 30 18.00,+65 22 0.00,08 39 11.6,+65 01 15,+65˚643.0,5.7,G0,62,5;21,44,69,1.5,2047.1--,
1882,69 Cnc,08 56 54.00,+25 51 0.00,09 02 44.3,+24 27 10,+25˚2029.0,5.4,A0,-1,5;23,34,2,8.4,2162.1--,
1883,5 Leo,09 26 36.00,+11 45 0.00,09 31 56.7,+11 17 58,+11˚2053.0,5.1,G5,25,8;33,33,14,2.4,2267.1--,
1884,38 UMa,10 35 6.00,+66 14 0.00,10 41 56.5,+65 42 58,+66˚678.0,5.1,K0,20,6;22,32,25,7.4,2497.0--,
1885,63 Leo,19 59 54.00,+8 53 0.00,11 05 01.0,+07 20 08,+8˚2455.0,4.7,F0,30,7;27,32,26,7.7,2581.0--,
1886,93 Leo,11 42 48.00,+21 46 0.00,11 47 59.1,+20 13 07,+21˚2358.0,4.5,F8,12,7;27,37,21,8.9,2731.0--,
1887,74 UMa,12 25 18.00,+59 57 0.00,12 29 57.3,+58 24 20,+59˚1444.0,5.4,A5,34,6;22,33,37,9.8,2881.1--,
1888,GC 17430,12 45 24.00,+38 4 0.00,12 50 10.7,+37 31 01,+38˚2373.0,5.9,A2,-4,7;25,32,,11.1,2950.1--,
1889,9 Boo,13 52 0.00,+28 59 0.00,13 56 34.1,+27 29 31,+28˚2278.0,5.2,K0,6,5;21,34,8,8.4,3181.1--,
1890,Delta Lib,14 55 36.00,-7 7 0.00,15 00 58.3,-08 31 08,-7˚3938.0,4.8,A0,9,7;26,43,19,8.4,3387.0M,
1891,GC 20352,15 3. 0.00,+9 16 0.00,15 07 46.5,+08 52 47,+9˚3001.0,8.7,G0,25,6;20,35,25,8.0,3418.0--,
1892,GC 20737,15 22 12.00,+61 54 0.00,15 24 17.9,+60 32 57,+61˚1501.0,7.4,G5,10,4;17,42,11,6.7,3488.1--,
1893,R CrB,15 44 30.00,+28 28 0.00,15 48 34.4,+28 09 24,+28˚2477.0,5.8,G0p,1,6;24,37,13,8.6,3581.0--,
1894,GC 21599,15 59 54.00,+25 31 0.00,16 04 03.6,+25 15 16,+25˚3020.0,7.1,G0,56,7;28,45,53,8.4,3643.0--,
1895,23 Oph,16 49 12.00,-5 59 0.00,16 54 35.6,-06 09 14,-5˚4374.0,5.4,K0,24,5;20,35,20,6.8,3840.0--,
1896,GC 22802,16 50 36.00,+21 7 0.00,16 54 55.1,+20 57 30,+21˚3002.0,5.5,K0,14,8;24,32,9,9.4,3849.0--,
1897,GC 24409,17 52 12.00,+18 38 0.00,17 56 37.9,+18 36 44,+18˚3502.0,6.7,K0,22,6;23,32,24,9.8,4093.1--,
1898,GC 25010,18 14 36.00,-9 38 0.00,18 20 03.9,-09 35 45,-9˚4692.0,7,G5,30,7;27,37,31,11.1,4204.1--,
1899,A 11275,18 16 48.00,+27 29 0.00,18 20 49.2,+27 31 49,+27˚3003.0,7.1,G5,22,5;21,37,23,8.4,4218.1A,
1900,GC 25208,18 23 12.00,-3 56 0.00,18 28 24.8,-03 52 33,-3˚4288.0,8.4,G0,23,7;27,37,24,11.1,4245.2--,
1901,GC 25481,18 33 6.00,-3 17 0.00,18 38 23.7,-03 11 37,-3˚4331.0,6.5,F8,19,9;30,37,28,4.8,4292.0--,
1902,TT Aql,19 3. 12.00,+1 9 0.00,19 08 13.7,+01 17 54,+1˚3899.0,9,G5,8,5;20,42,5,7.3,4454.0--,
1903,GC 26374,19 4. 12.00,+16 42 0.00,19 08 40.2,+16 51 05,+16˚3758.0,6.5,F5,9,7;26,39,21,8.9,4464.0--,
1904,GC 27677,19 54 42.00,+30 43 0.00,19 58 38.0,+30 59 01,+30˚3837.0,5.4,B8,33,6;25,37,35,9.8,4734.1--,
1905,14 Vul,19 54 54.00,+22 50 0.00,19 59 10.6,+23 06 04,+22˚3872.0,5.7,F0,16,6;22,35,17,9.8,4734.2--,
1906,62 Aql,19 59 12.00,+0 59 0.00,20 04 23.2,-00 42 33,-1˚3887.0,5.8,K0,-1,7;25,35,6,8.6,4755.0--,
1907,Xi Cap,20 6. 54.00,-12 55 0.00,20 12 25.8,-12 37 03,-13˚5608.0,5.9,F5,33,6;23,40,38,8.0,4796.0--,
1908,GC 28343,20 18 12.00,+14 13 0.00,20 22 52.3,+14 33 03,+14˚4275.0,6.2,F5,28,4;19,56,36,6.3,4855.1--,
1909,74 Dra,20 35 18.00,+80 44 0.00,20 29 27.4,+81 05 29,+80˚660.0,6.1,K0,13,7;24,37,26,8.9,4928.0--,
1910,11 Aqr,20 55 18.00,-5 7 0.00,21 00 33.8,-04 43 48,-5˚5433.0,6.3,G0,33,6;23,36,35,9.8,5037.1--,
1911,GC 29626,21 7. 36.00,+45 3 0.00,21 11 10.8,+45 27 20,+44˚3728.0,8.1,K0,24,6;22,36,29,8.2,5099.0--,
1912,19 Aqr,21 19 48.00,-10 10 0.00,21 25 13.0,-09 44 54,-10˚5668.0,5.8,A2,4,6;24,38,6,9.8,5156.1--,
1913,GC 30433,21 39 42.00,+14 19 0.00,21 44 31.3,+14 46 18,+14˚4668.0,6.1,G0,64,6;21,34,66,9.8,5246.1--,
1914,GC 30655,21 49 0.00,-4 45 0.00,21 54 10.3,-04 16 33,-4˚5568.0,5.9,K0,17,7;25,36,19,11.1,5290.1--,
1915,HD 209621,21 59 42.00,+20 34 0.00,22 04 25.1,+21 03 09,+20˚5071.0,8.8,R3,-21,5;20,38,-7,5.9,5326.0--,
1916,39 Peg,22 57 48.00,+19 43 0.00,22 32 35.4,+20 13 47,+19˚4949.0,6.3,F0,11,5;17,36,13,8.4,5452.1--,
1917,Ross 671,22 51 48.00,+16 2 0.00,22 56 34.8,+16 33 12,+15˚4733.0,8.6,Ma,142,5;24,70,148,3.0,5563.0--,
1918,A 16713,23 17 48.00,+20 1 0.00,23 22 48.6,+20 33 31,+19˚5093.0,6.6,G0,11,6;21,37,25,8.3,5657.0A,
1919,Beta Cas,00 3. 48.00,+58 36 0.00,00 09 10.7,+59 08 59,+58˚3.0,2.4,F5,59,5;20,36W,69,6.6,16.0--,
1920,Wolf 1056*,00 33 30.00,+30 4 0.00,00 39 01.8,+30 37 04,,11.4,M4,77,6;26,55C,80,3.9,107.0--,
1921,Delta And,00 34 0.00,+30 19 0.00,00 39 19.6,+30 51 39,+30˚91.0,3.5,K2,12,7;28,51C,29,1.8,108.0--,
1922,Gamma Cas*,00 50 42.00,+60 11 0.00,00 56 42.5,+60 43 00,+59˚144.0,2.2,B0p,-5,7;29,36C,14,8.9,185.0--,
1923,Epsilon Psc,00 57 48.00,+7 21 0.00,01 02 56.5,+07 53 24,+7˚153.0,4.4,K0,10,7;27,38C,26,6.5,209.0--,
1924,Mu Cass,01 1. 36.00,+54 26 0.00,,,+54˚223.0,5.3,G5,122,5;25n,87C,,,0.00,
1925,39 Ari,02 42 0.00,+28 50 0.00,02 47 54.5,+29 14 49,+28˚462.0,4.6,K0,21,6;25,38C,20,1.9,567.0--,
1926,Beta Per,03 1. 42.00,+40 34 0.00,03 08 10.1,+40 57 20,+40˚673.0,2.2,B8,39,6;23,28W,38,3.4,646.0A,
1927,Alpha Per,03 17 12.00,+49 30 0.00,03 24 19.3,+49 51 40,+49˚917.0,1.9,F5,1,4;23,62C,10,4.7,707.0--,
1928,Epsilon Eri*,03 28 12.00,-9 48 0.00,03 32 55.8,-09 27 29,-9˚697.0,3.8,K0,292,5;20,39W,304,2.2,742.0--,
1929,Alpha Tau,04 30 12.00,+16 18 0.00,04 35 55.2,+16 30 32,+16˚629.0,1.1,K5,39,6;28,62C,48,3.0,1014.0A,
1930,Beta Ori*,05 9. 42.00,-8 19 0.00,,,-8˚1063.0,0.3,B8p,6,5;25,48C,,,0.00,
1931,Beta Tau,05 20 0.00,+28 31 0.00,05 26 17.5,+28 36 27,+28˚795.0,1.8,B8,17,4;25,50C,24,6.1,1231.0--,
1932,Alpha Ori,05 49 48.00,+7 23 0.00,05 55 10.3,+07 24 25,+7˚1055.0,0.8,Ma,-10,5;25,33W,9,4.7,1362.0--,
1933,Gamma Gem,06 31 54.00,+16 29 0.00,06 37 42.7,+16 23 57,+16˚1223.0,1.9,A0,41,4;23n,55C,36,3.7,1539.0--,
1934,Beta Cmi*,07 21 42.00,+8 29 0.00,07 27 09.0,+08 17 21,+8˚1774.0,3.1,B8,15,6;29,48C,22,8.6,1753.0--,
1935,Alpha Gem A,07 28 12.00,+32 6 0.00,07 34 36.0,+31 53 19,+32˚1581.0,2,A0,71,5;24,32W,74,2.5,1785.0M,
1936,Alpha Gem B,07 28 12.00,+32 6 0.00,07 34 36.0,+31 53 19,+32˚1581.0,2.8,A1,75,5;23,31W,74,2.5,1785.0M,
1937,Alpha Gem C,07 28 12.00,+32 5 0.00,07 34 36.0,+31 53 19,+32˚1582.0,8.8,K6,74,4;19,32W,74,2.5,1785.0M,
1938,Beta Gem,07 39 12.00,+28 16 0.00,07 45 18.9,+28 01 34,+28˚1463.0,1.2,K0,83,5;22,35W,97,4.2,1826.0--,
1939,Beta Cnc,08 11 6.00,+9 30 0.00,08 16 30.9,+09 11 07,+9˚1917.0,3.8,K2,-4,5;24,46C,12,4.5,1967.0--,
1940,Alpha Hyd*,09 22 42.00,-8 14 0.00,09 27 35.2,-08 39 31,-8˚2680.0,2.2,K2,5,6;26,31W,21,2.6,2247.0--,
1941,Zeta UMa B,13 19 54.00,+55 27 0.00,13 23 55.5,+54 55 31,+55˚1598.0,4,A2,34,6;25,36W,41,5.8,3062.0A,
1942,Eta Uma*,13 43 36.00,+49 49 0.00,13 47 32.4,+49 18 47,+50˚2027.0,1.9,B3,34,7;28,49C,29,8.9,3147.0--,
1943,Alpha CrB,15 30 30.00,+27 3 0.00,15 34 41.2,+26 42 53,+27˚2512.0,2.3,A0,26,6;24,34W,38,8.2,3519.0--,
1944,Chi Her,15 49 12.00,+42 44 0.00,15 52 40.4,+42 27 05,+42˚2648.0,4.6,G0,53,5;21,30D,59,6.1,3596.0--,
1945,Gamma Ser,15 51 48.00,+15 59 0.00,15 56 27.1,+15 39 41,+16˚2849.0,3.9,F5,79,6;27,73C,86,4.7,3604.0--,
1946,Zeta Her,16 37 30.00,+31 47 0.00,16 41 17.2,+31 36 10,+31˚2884.0,3,G0,86,4;17,36W,101,2.9,3799.0A,
1947,19 Dra,16 55 30.00,+65 17 0.00,16 56 01.6,+65 08 05,+65˚1157.0,4.8,F5,57,6;23,45C,54,5.1,3860.0--,
1948,Delta Her,17 10 54.00,+24 57 0.00,17 15 01.8,+24 50 21,+25˚3221.0,3.2,A2,38,5;22,35W,39,6.1,3916.0--,
1949,Alpha Oph,17 30 18.00,+12 38 0.00,17 34 56.0,+12 33 35,+12˚3252.0,2.1,A5,71,6;22,33W,63,4.4,4000.0--,
1950,Omega Dra,17 37 30.00,+68 48 0.00,17 36 57.0,+68 45 29,+68˚949.0,4.9,F5,40,7;26,36C,42,6.8,4036.0--,
1951,Beta Oph,17 38 30.00,+4 37 0.00,17 43 28.3,+04 34 02,+4˚3489.0,2.9,K0,28,6;27,52C,39,2.0,4042.0--,
1952,Gamma Dra,17 54 18.00,+51 30 0.00,17 56 36.3,+51 29 19,+51˚2282.0,2.4,K5,20,6;24,46C,23,2.1,4107.0--,
1953,99 Her,18 3. 12.00,+30 33 0.00,18 07 01.5,+30 33 43,+30˚3128.0,5.2,F8,56,4;17,31D,58,3.1,4153.0--,
1954,Chi Dra*,18 22 54.00,+72 41 0.00,18 21 03.4,+72 43 58,+72˚839.0,3.7,F8,122,6;24,32D,128,2.9,4245.0M,
1955,Alpha Sct,18 29 48.00,-8 19 0.00,18 35 12.3,-08 14 38,-8˚4638.0,4.1,K0,9,6;21,43C,16,2.2,4275.0--,
1956,Alpha Lyr,18 33 36.00,+38 41 0.00,18 36 56.4,+38 47 00,+38˚3238.0,0.1,A0,126,7;26,36W,129,1.6,4293.0--,
1957,GC 25770,18 43 48.00,+10 39 0.00,18 48 29.2,+10 44 44,+10˚3665.0,8,K4,55,5;23,59C,64,5.6,4340.0--,
1958,17 Lyr,19 3. 36.00,+32 21 0.00,19 07 25.5,+32 30 06,+32˚3326.0,5,F0,19,6;26,57C,14,6.9,4458.0--,
1959,17 Lyr C*,19 3. 42.00,+32 21 0.00,,,,11.2,M5,109,6;26,55C,,,0.00,
1960,Merrill*,19 7. 0.00,+16 40 0.00,,,,10,WN7,-5,5;18,26W,,,0.00,
1961,31 Aql,19 20 12.00,+11 44 0.00,19 24 58.2,+11 56 39,+11˚3833.0,5.2,G5,46,5;21,31D,63,4.0,4541.0--,
1962,RR Lyr,19 22 12.00,+42 36 0.00,19 25 27.9,+42 47 04,+42˚3338.0,Var,F5,7,6;24,46C,3,1.9,4550.0--,
1963,Alpha Aql,19 45 54.00,+8 36 0.00,19 50 47.0,+08 52 05,+8˚4236.0,0.9,A5,189,4;17,43W,197,2.2,4665.0--,
1964,Epsilon Dra,19 48 30.00,+70 1 0.00,19 48 10.4,+70 16 05,+69˚1070.0,4,K0,23,7;27,39C,12,6.9,4689.0A,
1965,Gamma Sge,19 54 18.00,+19 13 0.00,19 58 45.4,+19 29 31,+19˚4229.0,3.7,K5,7,6;22,36C,11,7.4,4731.0--,
1966,GC 27912,20 3. 36.00,+52 52 0.00,20 06 13.8,+53 09 55,+52˚2623.0,5.7,F5,31,6;21,38C,27,5.9,4779.0--,
1967,Kappa Cep*,20 12 18.00,+77 25 0.00,20 08 53.3,+77 42 41,+77˚764.0,4.4,B9,-4,6;23,44C,-1,7.4,4824.0--,
1968,Gamma Cyg,20 18 36.00,+39 56 0.00,20 22 13.6,+40 15 24,+39˚4159.0,2.3,F8p,-1,7;22,34W,-1,7.3,4857.0--,
1969,Alpha Cyg,20 38 0.00,+44 55 0.00,20 41 25.9,+45 16 49,+44˚3541.0,1.3,A1p,-17,5;19,34W,-9,6.3,4935.0--,
1970,Epsilon Cyg,20 42 12.00,+33 36 0.00,20 46 12.6,+33 58 12,+33˚4018.0,2.6,G8,49,5;21,33W,52,5.3,4959.0A,
1971,Alpha Cep,21 16 12.00,+62 10 0.00,21 18 34.8,+62 35 08,+61˚2111.0,2.6,A5,40,6;22,36W,66,5.6,5139.0--,
1972,GC 31046,22 7. 18.00,+50 20 0.00,22 11 09.8,+50 49 24,+50˚3602.0,5.4,A2,2,6;23,38C,6,7.7,5370.0--,
1973,33 Peg,22 18 48.00,+20 21 0.00,22 23 39.6,+20 50 54,+20˚5139.0,6.1,F5,33,5;20,31D,35,5.1,5416.0--,
1974,Zeta Peg*,22 36 30.00,+10 19 0.00,22 41 27.7,+10 49 53,+10˚4797.0,3.6,B8,20,6;24,44C,22,8.8,5492.0--,
1975,Eta Peg,22 38 18.00,+29 42 0.00,22 43 00.1,+30 13 16,+29˚4741.0,3.1,G0,14,5;25,60C,17,4.1,5503.0A,
1976,Beta Peg,22 58 54.00,+27 32 0.00,23 03 46.4,+28 04 58,+27˚4480.0,2.6,Ma,12,6;22,31W,19,6.3,5583.0--,
1977,7 And,23 8. 0.00,+48 52 0.00,23 12 32.9,+49 24 22,+48˚3964.0,4.6,F0,46,4;17,31D,48,6.1,5615.0--,
1978,Nu Peg,23 20 24.00,+22 51 0.00,23 25 22.7,+23 24 14,+22˚4833.0,4.6,G0,36,7;27,38C,33,7.5,5670.0--,
1979,GC 153,00 4. 6.00,+24 44 0.00,00 09 15.7,+25 16 54,+24˚4.0,8.2,G0,29,5;19,31L,31,8.4,17.01A,
1980,GC 707,00 30 42.00,+12 40 0.00,00 35 54.8,+13 12 25,+12˚59.0,6.4,F5,19,7;21,28S,21,11.1,98.01--,
1981,32 And,00 35 42.00,+38 55 0.00,00 41 07.2,+39 27 31,+38˚90.0,5.4,G5,8,8;30,32G,10,12.5,118.02--,
