Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
162,Nu Piscium,01 14 0.00,+26 44 0.00,01 19 28.0,+27 15 50,+26˚220,4.7,A2,11,7;21,,16,11.1,273.0--,
163,Gamma Andromedae (prec),01 58 0.00,+41 51 0.00,02 03 53.9,+42 19 46,+41˚395,2.3,K0,-3,10;31,,8,5.2,424.0A,
164,Gamma Andromedae (fol),01 58 0.00,+41 51 0.00,02 03 53.9,+42 19 46,+41˚395,5.1,A0,-5,7;22,,8,5.2,424.0A,
,Mean,,,,,,,,-4,6;--,,,,0.00,
165,16 Persei,02 44 0.00,+37 54 0.00,02 50 35.0,+38 19 07,+37˚646,4.3,F0,17,8;26,,21,9.6,576.0--,
166,Omicron Tauri,03 19 0.00,+8 41 0.00,03 24 48.7,+09 01 44,+8˚511,3.8,G5,1,6;18,,14,7.4,711.0--,
167,40 Orionis,05 31 0.00,+9 14 0.00,05 36 54.3,+09 17 25,+9˚898,4.4,K0,34,8;22,,31,1.5,1285.0--,
168,B. D. + 5  1168,06 12 0.00,+5 8 0.00,06 17 16.1,+05 06 00,+5˚1168,5.8,F8,46,8;21,,50,9.6,1463.0A,
169,8 Lyncis,06 29 0.00,+61 34 0.00,06 37 41.3,+61 28 52,+61˚893,6,F0,23,9;24,,34,11.8,1526.0--,
170,B. D. + 21  1528,07 4 0.00,+21 25 0.00,07 10 06.7,+21 14 48,+21˚1528,6.5,F8,22,6;16,,25,6.6,1672.0--,
171,18 Lyncis,07 7 0.00,+59 49 0.00,07 15 54.8,+59 38 14,+59˚1065,5.3,G5,31,6;18,,34,9.8,1683.0--,
172,38 Lyncis,09 13 0.00,+37 14 0.00,09 18 50.6,+36 48 10,+37˚1965,3.8,A0,26,8;24,,38,9.6,2214.0--,
173,35 Leonis,10 11 0.00,+24 0 0.00,10 16 32.2,+23 30 10,+24˚2207,5.9,G0,38,7;19,,34,1.8,2410.0--,
174,Omicron Virginis,12 0 0.00,+9 17 0.00,12 05 12.5,+08 43 58,+9˚2583,4.2,G5,34,6;17,,38,6.7,2789.0--,
175,8 Canum Ven.,12 29 0.00,+41 54 0.00,12 33 44.5,+41 21 26,+42˚2321,4.3,G0,109,6;16,,116,2.4,2895.0--,
176,B. D. + 10  2637,14 5 0.00,+10 43 0.00,,,+10˚2637,7.9,G0,23,9;23,,,,0.00,
177,Xi Bootis,14 47 0.00,+19 31 0.00,14 51 23.2,+19 06 04,+19˚2870,4.6,K5,147,7;19,,149,1.7,3360.0A,
