No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
780,38 Ceti,1,9.7,-1,31,-1,162,5.8,F5,0.218,-0.023,-0.04,0.022,7; 24,11.6,21
781,Theta Ceti,1,19,-8,42,-8,244,3.8,K0,0.228,-0.077,-95,0.031,5; 18,11.9,21
782,107 Pisc,1,37.1,19,47,19,279,5.3,G5,0.735,-0.292,-0.333,0.125,9; 30,12.1,19
783,6 Tria,2,6.6,29,29,29,371,5.2,G0,0.088,-0.06,-0.091,-0.001,6; 23,11.8,23
784,7 Taur,3,28.5,24,7,23,473,5.9,A2,0.034,0.02,-0.015,0.002,5; 17,11.2,21
785,Lal 11218,5,51.3,15,44,15,993,7.9,G0,0.271,0.086,0.08,0.002,6; 22,10.6,20
786,Lal 15743,7,58.8,12,34,12,1759,7.9,G5,0.141,0.077,0.102,0.043,5; 15,11.2,18
787,14 Boot,14,9.3,13,26,13,2764,5.5,F8,0.264,-0.257,-0.211,0.014,8; 27,10.3,20
788,Pi 69,14,18.5,8,54,9,2882,5.1,A0,0.069,0.065,-0.022,-0.003,7; 23,11.4,21
789,Lal 26635,14,31.7,-3,51,-3,3648,7.8,G0,0.348,-0.347,-0.248,0.009,7; 22,10.8,19
790,Lal 29330,16,1.2,10,57,11,2910,8.5,G5,0.491,-0.489,-0.482,0.026,7; 21,11,20
791,Lal 31822,17,23,31,10,31,3027,8.1,F8,0.32,-0.308,-0.365,0.019,8; 25,10.6,19
792,Dpt 1949 m,17,25.2,0,59,0,3300,5.3,G5,0.21,-0.121,-0.141,0.052,6; 20,10.7,19
793,Lal 33243,18,1.8,15,34,15,3358,8.5,K0,0.221,-0.019,-0.024,0.025,7; 17,11.2,19
794,Lal 34435,18,28.6,44,57,44,2919,8.1,G0,0.36,-0.117,-0.125,0.017,8; 25,12,21
795,Beta Scut,18,41.9,-4,51,-4,4582,4.5,G0,0.024,-0.007,-0.08,0.011,8; 24,10.8,20
796,Omicron Drac,18,49.7,59,16,59,1925,4.8,K0,0.09,0.087,0.081,0.003,4; 13,11.5,20
797,113 Herc,18,50.5,22,32,22,3524,4.6,G0.,0.004,0.001,0.006,0.012,8; 25,11.4,19
798,Theta Lyra,19,12.9,37,57,37,3398,4.5,K0,0.008,-0.007,0.013,-0.015,7; 24,9.5,20
799,Zeta Dlph,20,30.6,14,20,14,4353,4.7,A2,0.042,0.042,0.046,0.007,5; 17,10.8,17
800,71 Agil,20,33.2,-1,27,-1,4016,4.5,K0,0.03,0.015,0.014,-0.004,7; 21,10.6,19
801,Delta Dlph,20,38.8,14,43,14,4403,4.5,A5,0.056,-0.019,-0.028,0.003,6; 20,10.2,20
802,30 Vulp,20,40.6,24,55,24,4229,5.1,K2,0.186,-0.031,-0.035,0.004,5; 16,11.2,19
803,77 Cygn,21,38.4,40,38,40,4615,5.5,A0,0.019,0.019,-0.037,-0.005,6; 21,9.5,21
804,11 Ceph,21,40.5,70,51,70,1193,4.8,K0,0.153,0.12,0.114,0.011,8; 24,10.8,20
805,34 Pegs,22,21.5,3,53,3,4705,5.8,G0,0.298,0.295,0.283,0.039,6; 20,11,20
806,64 Pisc,0,43.7,16,24,16,76,5.2,F5,0.206,-0.017,0,0.042,8; 30,12.4,28
807,Polaris,1,22.6,88,46,88,8,2.1,F8,0.043,0.043,0.051,0.001,6; 29,8.6,30
808,A Oe 2618,2,14,70,43,70,169,8.5,K1,0.63,0.574,0.531,0.027,6; 26,10.8,29
809,SU Cass,2,43,68,28,68,200,Var,F5,0.017,0.015,0.005,0.008,5; 20,11.3,28
810,36 Pers,3,25.5,45,43,45,778,5.4,F0,0.085,-0.049,-0.05,0.025,5; 22,10.1,30
811,Delta Pers,3,35.8,47,28,47,876,3.1,B5,0.047,0.033,0.025,0.006,6; 26,11.2,30
812,52 Pers,4,8.1,40,14,40,912,4.9,G0,0.032,0.017,-0.021,-0.001,6; 27,10.7,28
813,Eta Auri,4,59.5,41,6,41,1058,3.3,B3,0.082,0.032,0.03,0.01,4; 19,10.6,27
814,133 Taur,5,42,13,52,13,979,5.2,B5,0.024,0.02,-0.007,-0.008,4; 19,11.4,30
815,5 Mono,6,10,-6,15,-6,1469,4.1,K0,0.021,-0.001,-0.004,0.01,5; 21,10.6,29
816,RT Auri,6,22.1,30,33,30,1238,Var,G0,0.023,-0.004,0,0.003,3; 16,11.6,28
817,1 C Min,7,19.4,11,53,11,1578,5.3,A2,0.025,-0.018,-0.009,0.009,4; 18,11.4,31
818,81 Gemi,7,40.3,18,45,18,1733,5,K2,0.095,-0.066,-0.073,0.007,4; 19,11.3,30
819,Lal 17161,8,38.6,42,3,42,1922,8.2,K0,0.701,-0.266,-0.289,0.051,6; 23,11,30
820,Lal 19229,9,43.5,14,14,14,2151,8.1,F0,0.829,0.343,0.379,0.021,5; 23,10.7,32
821,Eta Leon,10,1.9,17,15,17,2171,3.6,A0p,0.01,0.002,0.04,-0.01,5; 21,11.1,29
822,62 Urs. Maj,11,36.4,32,18,32,2179,5.7,F5,0.343,-0.343,-0.32,0.018,4; 17,11.7,31
823,17 Virg,12,17.4,5,52,6,2599,6.5,F8,0.177,-0.167,-0.152,0.017,6; 23,10.5,29
824,37 Coma,12,55.5,31,19,31,2434,5.1,K0,0.033,-0.024,-0.087,0.01,5; 20,11.1,29
825,17 H CVen,13,30.3,37,42,37,2426,5,F0,0.088,0.086,0.072,0.014,5; 19,10.5,25
826,Sigma Boot,14,30.3,30,11,30,2536,4.5,F0,0.232,0.197,0.207,0.07,6; 22,12.3,29
827,Omega  Boot,14,57.7,25,24,25,2861,4.9,K5,0.056,-0.003,0.017,0.022,5; 21,11.7,31
828,Beta Cor B,15,23.7,29,27,29,2670,3.7,F0p,0.187,-0.17,-0.171,0.034,8; 32,11.5,28
829,Rho Serp,15,46.9,21,17,21,2829,4.9,K5,0.045,-0.045,-0.03,0.006,7; 28,11.4,31
830,Epsilon Ophi,16,13,-4,27,-4,4086,3.3,K0,0.088,0.082,0.071,0.03,7; 25,10.6,29
831,43 Herc,16,41,8,46,8,3271,5.4,K2,0.017,0.003,0.014,0.012,6; 25,10.9,28
832,Lal 31313,17,6.3,40,54,40,3109,5.1,K0,0.049,-0.049,-0.033,0.015,5; 21,10.7,27
833,49 Ophi,17,21.6,4,14,4,3422,4.4,K0,0.007,0.006,-0.001,0.002,6; 25,10.2,31
834,96 Herc,17,58.1,20,50,20,3649,5.1,B3,0.018,0.003,0.006,-0.002,4; 18,11.7,29
835,104 Herc,18,8.1,31,23,31,3199,5,Ma,0.016,-0.004,-0.011,0.004,5; 19,10.8,28
836,Delta Scut,18,36.8,-9,9,-9,4796,4.7,F0,0.016,0.016,-0.005,0.017,4; 16,10.3,28
837,Beta 1 Lyra,18,46.4,33,15,33,3223,Var,B5,0.011,0.008,0.006,-0.013,5; 22,11.1,29
838,Theta 1 Serp,18,51.2,4,4,4,3916,4.5,A5,0.056,0.049,0.048,0.029,6; 24,10.6,28
839,Theta 2 Serp,18,51.3,4,4,4,3916,5.4,A5,0.049,0.046,0.055,0.009,8; 30,10.6,28
,Mean,,,,,,,,,,,,0.021,5,,
840,Epsilon Aqil,18,55.1,14,56,14,3736,4.2,K0,0.098,-0.06,-0.058,0.024,7; 28,10.8,29
841,21 Aqil,19,8.7,2,7,2,3824,5.1,B8,0.007,0,0.006,0.002,6; 23,10.8,27
842,53 Drac,19,9.8,56,41,56,2209,5.2,K0,0.058,0.043,0.038,0.007,6; 25,10.2,30
843,26 Aqil,19,15.2,-5,36,-5,4936,5.1,G5,0.113,0.106,0.113,0.026,5; 21,10.4,30
844,36 Aqil,19,25.4,-3,0,-3,4612,5.2,Ma,0.018,0.012,0.02,0.025,6; 25,10.4,29
845,Lal 37728,19,43.9,27,37,27,3516,6.8,G5,0.23,-0.04,-0.007,0.023,5; 19,11,27
846,68 Drac,20,9.9,61,47,61,1983,5.7,F5,0.158,0.137,0.119,0.024,5; 18,10,27
847,T Vulp,20,47.2,27,53,27,3890,Var,F8p,0.019,0.011,0.009,0,4; 18,11.5,30
848,Mu Aqar,20,47.3,-9,22,-9,5598,4.8,A3,0.054,0.04,0.027,0.011,5; 21,10.1,29
849,Beta Ceph,21,27.4,70,7,69,1173,3.3,B1,0.013,0.013,0.012,0.003,6; 24,10.3,33
850,Xi Aqar,21,32.4,-8,19,-8,5701,4.8,A5,0.117,0.114,0.099,-0.005,5; 20,10.2,28
851,9 Pegs,21,39.8,16,53,16,4582,4.5,G5,0.033,0.021,0.003,-0.001,5; 20,10.3,28
852,Lamda Ceph,22,8.1,58,55,58,2402,5.2,Od,0.027,0.026,-0.009,0.001,4; 17,10.5,29
853,Epsilon 2923,22,30.5,69,51,69,1263,6.3,A0,0.064,0.06,0.041,-0.011,7; 27,10.3,27
854,Theta Pisc,23,22.9,5,50,5,5173,4.4,G5,0.136,-0.128,-0.144,0.015,5; 18,12.8,29
855,15 Andr,23,29.7,39,41,39,5114,5.5,A0,0.043,0.01,-0.03,0.008,5; 19,10.5,28
856,Lal 47226,0,0.2,8,14,7,5128,8.2,K0,0.272,0.265,0.261,-0.006,5; 21,11.7,31
857,Grb 410 ,1,52.9,75,1,74,91,6.6,A0,0.027,0.023,0.017,0.004,5; 23,12,30
858,Comp Gamma Ceti,2,37.3,2,57,2,418,10.2,Mb,0.22,,-0.154,0.039,5; 24,10.8,30
859,Gamma Ceti,2,38.1,2,49,2,422,3.6,A2,0.209,-0.144,-0.156,0.045,5; 23,10.8,30
860,63 Arie,3,17,20,23,20,551,5.2,K0,0.048,-0.044,-0.047,0.004,5;21,11,27
861,88 Taur,4,30.2,9,57,9,607,4.4,A3,0.069,0.047,0.016,0.027,7; 32,10.5,28
862,90 Taur,4,32.6,12,19,12,618,4.3,A3,0.108,0.107,0.077,0.015,5; 22,10.9,27
863,29 Orio,5,19.1,-7,54,-7,1064,4.2,K0,0.041,-0.015,-0.024,0.003,7; 32,11.2,28
864,1 Lync,6,8.7,61,33,61,869,5.3,Ma,0.005,0.004,-0.012,0.002,5; 21,11,29
865,66 Auri,7,17.2,40,52,40,1852,5.3,K0,0.023,0.002,0.001,0.002,3; 14,10.9,26
866,Eta C Min,7,22.7,7,9,7,1729,5.3,A5,0.044,0 . 000,-0.001,0.008,4; 16,10.7,26
867,Lal 16904,8,33.1,56,2,56,1322,8.1,G0,0.47,-0.284,-0.263,0.005,7; 27,11.8,26
868,Lal 17081,8,36.2,34,33,34,1885,7.4,F8,0.277,0.023,0.036,0.022,3; 15,11.7,29
869,75 Canc,9,2.9,27,3,27,1715,6,G5,0.402,-0.114,-0.129,0.039,5; 21,12.5,29
870,Beta U Maj,10,55.8,56,55,57,1302,2.4,A0,0.089,0.084,0.099,0.043,6; 24,9.9,30
871,Gamma U Maj,11,48.6,54,15,54,1475,2.5,A0,0.095,0.095,0.11,0.023,7; 26,10.8,23
872,12 Coma,12,17.5,26,24,26,2337,4.8,F5,0.013,-0.005,0.026,0.006,"5 , 20",10.8,29
873,Alpha 2  C Ven,12,51.4,38,51,39,2580,2.9,A0p,0.233,-0.229,-0.243,0.022,6; 25,10.5,39
874,41 Coma,13,2.4,28,10,28,2185,4.9,K5,0.088,0.028,0.074,-0.003,7; 26,10.9,30
875,Zeta Virg,13,29.6,0,5,0,3076,3.4,A2,0.285,-0.283,-0.302,0.035,5; 19,11,28
876,109 Virg,14,41.2,2,19,2,2862,3.8,A0,0.117,-0.111,-0.078,0.03,7; 26,10.1,30
877,Epsilon Libr,15,18.8,-9,58,-9,4138,5.1,F0,0.176,-0.077,-0.085,0.025,5; 20,10.2,30
878,Zeta 1 Cor B,15,35.6,36,58,37,2665,6,B8,,,-0.012,0.029,7; 28,12.7,30
879,Zeta 2 Cor B,15,35.6,36,58,,,5.1,B8,0.01,-0.007,-0.016,-0.001,6; 21,12.7,30
,Mean,,,,,,,,,,,,0.013,5,,
880,Eta U Min,16,20.4,75,59,76,596,5,F0,0.264,-0.061,-0.047,0.034,5; 20,10.3,28
881,Omega Herc,16,20.8,14,16,14,3049,4.5,A0p,0.08,0.048,0.031,0.03,5; 22,9.9,27
882,69 Herc,17,14.2,37,24,37,2864,4.8,A2,0.064,-0.036,-0.049,0.009,5; 21,11.2,28
883,Nu Ophi,17,53.5,-9,46,-9,4632,3.5,K0,0.118,-0.009,0.006,0.016,5;21,11.2,29
884,59 Serp,18,22.1,0,8,0,3936,5.3,A0,0.011,-0.009,-0.005,0.011,5; 21,10.9,30
885,Grb 2719,18,48.3,73,58,73,835,5.4,G5,0.082,0.013,0.005,0.015,6; 24,10.4,30
886,Lal 35584,18,57.2,26,9,26,3429,5.5,B3,0.008,0,-0.002,0.004,5; 20,10.6,28
887,Lambda Aqil,19,0.9,-5,2,-5,4876,3.6,B9,0.094,-0.022,0.013,0.021,5;22,11,37
888,Tau Drac,19,17.5,73,10,73,857,4.6,K0,0.173,-0.134,-0.14,0.011,5; 22,11.4,32
889,Lal 37508,19,37.8,45,17,45,2949,5,F2,0.144,0.1,0.085,0.015,3; 14,10.6,29
890,Brad 2541,19,50.3,24,3,23,3829,5.5,A0,0.028,0.026,0.003,0.008,4; 15,10,27
891,A G Camb,,,,,,,,,,,,,,,
,10646,19,53.2,29,33,29,3820,8.2,G5,0.26,0.078,0.083,0.05,5; 18,10,29
892,Lal 38430,20,0.7,25,47,25,4090,7.8,G5,0.4,0,0.052,0.026,6; 21,11.1,29
893,25 Vulp,20,17.8,24,8,23,3986,5.4,B8,0.016,-0.008,-0.009,-0.013,4; 16,11.1,27
894,Mayer 868,20,26.9,-10,12,-10,5423,5.8,G5,0.319,0.306,0.311,0.019,7; 24,11.2,31
895,4 Ceph,20,41.9,66,18,66,1318,5.6,A5,0.05,0.026,0.035,0.027,6; 21,10.7,28
896,Grb 3432,21,16,49,5,48,3345,5.6,B5,0.018,0.017,0.02,-0.004,5; 20,10.8,30
897,Beta Equl,21,17.9,6,23,6,4811,5.1,A0,0.057,0.057,0.043,0.01,6; 22,10.7,30
898,75 Cygn,21,36.3,42,49,42,4177,5.4,K5,0.056,0.055,0.054,0,6; 23,9.6,29
899,11 Pegs,21,42.2,2,13,2,4414,5.5,A0,0.017,0.016,-0.009,-0.009,6; 22,10.5,31
900,Lal 43090,22,1.4,1,22,1,4583,7.5,F8,0.372,0.309,0.334,0.012,5; 17,11.8,29
901,Sigma Aqar,22,25.4,-11,11,-11,5850,4.9,A0,0.032,0.003,-0.03,0.006,6; 20,9.9,27
902,31 Ceph,22,33.3,73,7,72,1049,5.2,F0,0.173,0.172,0.161,-0.007,6; 21,11.1,27
903,13 Lacr,22,39.6,41,18,41,4594,5.2,K0,0.007,-0.006,-0.033,0.004,5; 18,10,27
904,66 Pegs,23,18,11,46,11,4993,5.3,K0,0.034,0.027,0.013,-0.006,5; 18,10.5,27
905,67 Pegs,23,20,31,50,31,4904,5.5,A0,0.009,0.008,0.015,-0.003,5; 18,10.8,29
906,Lal 158,0,9.3,-8,20,-8,26,5.4,Ma,0.063,0.062,0.062,0.007,7; 26,11.1,29
907,Lal 1462,0,48.1,42,49,42,195,7.2,G0,0.319,0.299,0.285,0.02,6; 24,11.6,27
908,Eta Ceti,1,3.6,-10,43,-10,240,3.6,K0,0.25,0.211,0.216,0.029,5; 21,11.4,29
909,Eta Erid,2,51.5,-9,18,-9,553,4,K0,0.233,0.084,0.083,0.019,6; 27,11.4,29
910,94 Ceti,3,7.7,-1,34,-1,457,5.1,F8,0.213,0.205,0.197,0.06,4; 19,12,27
911,Nu Auri,5,44.2,37,17,37,1336,5,Ma,0.053,0.037,0.033,-0.01,4; 19,10.7,23
912,Mu Ori,5,56.9,9,39,9,1064,4.2,A2,0.036,0.021,0.024,0.019,4; 18,10,23
913,Phi Boot,15,34.2,40,41,40,2907,5.4,G5,0.082,0.066,0.029,0.015,6; 26,10.4,29
914,Lal 909,0,31.3,43,56,43,113,5.4,K5,0.032,-0.021,-0.037,0,4; 15,11.6,27
915,89 Pisc,1,12.6,3,5,2,185,5.3,A2,0.054,-0.048,-0.06,0.004,4; 19,11.3,31
916,64 Andr,2,17.8,49,33,49,649,5.5,G5,0.049,0.025,0.033,-0.004,5; 23,11.5,28
917,36 H Cass,2,28.5,72,23,72,140,5.3,K0,0.029,-0.023,-0.021,0.008,4; 19,11.6,29
918,Iota Pers,3,1.8,49,14,49,857,4.2,G0,1.269,1.267,1.262,0.077,7; 31,11.2,32
919,Delta Arie,3,5.9,19,21,19,477,4.5,K0,0.154,0.154,0.132,0.021,4; 21,11.5,30
920,W B 4h 580,4,29.4,-9,11,-9,930,5.5,K2,0.119,-26,-0.05,0.008,4; 16,11,29
921,11 Orio,4,58.9,15,16,15,732,4.6,B9,0.043,0.021,0.008,0.009,5; 23,10.6,28
922,19 H Caml,5,6.1,79,7,79,169,5.2,F8,0.147,0.083,-0.094,0.048,4; 17,11.7,29
923,21 Orio,5,14,2,30,2,916,5.4,F5,0.058,-0.012,-0.036,0.017,4; 16,11.1,26
924,77 Orio,6,22.1,0,22,0,1426,5.3,K0,0.012,0.005,0.006,0.006,4; 18,10.5,27
925,57 Gemi,7,17.4,25,15,25,1660,5.1,G5,0.071,-0.067,-0.07,0.019,4; 18,10.4,26
926,26 Mono,7,36.5,-9,19,-9,2172,4.1,K0,0.076,-0.072,-0.074,0.018,4; 16,10.3,29
927,2 U Maj,8,25.7,65,29,65,638,5.4,A0,0.082,-0.053,-0.048,0.011,6; 23,11.4,27
928,Pi 167,8,42.2,-1,32,-1,2130,5.2,A0,0.043,-0.043,-0.016,0.008,4; 19,10,30
929,Lal 19529,9,54.4,25,2,25,2191,7.9,G5,0.242,-0.24,-0.24,0.027,5; 20,12.5,29
930,Lal 21081,10,54,36,38,36,2139,6.2,Ma,0.096,0.079,0.076,0.01,6; 23,11.1,28
931,Grb 1830,11,47.2,38,26,38,2285,6.5,G5,7.074,4.006,4.004,0.108,5; 19,12.6,27
932,6 C Ven,12,20.9,39,34,39,2521,5.2,K0,0.082,-0.073,-0.065,0.024,4; 17,10.7,31
933,31 Coma,12,46.8,28,5,28,2156,5.1,G0,0.027,-0.013,0.036,0.005,7; 25,11.6,26
934,78 Virg,13,29.1,4,10,4,2764,4.9,A2p,0.054,0.045,0.049,0.006,7; 23,10.7,27
935,24 C Ven,13,30.4,49,32,49,2227,4.6,A3,0.114,-0.113,-0.117,0.023,4; 14,10.7,28
936,Phi Virg,14,23,-1,47,-1,2957,5,K0,0.131,-0.131,-0.149,0.044,6; 22,11.7,28
937,Chi Boot,15,10.3,29,32,29,2640,5.3,A0,0.076,-0.072,-0.054,0.018,4; 17,10.5,28
938,Chi Serp,15,44.2,18,27,18,3074,4.3,K5,0.108,-0.042,-0.055,0.024,7; 25,10.7,29
939,Paris 20211,16,4.6,-3,12,-3,3884,5.4,K0,0.014,-0.003,-0.028,0.004,6; 23,11,28
940,Nu Herc,17,54.7,30,12,30,3093,4.5,F0,0.006,0.005,-0.012,-0.002,4; 17,10.8,28
941,Brad 2329,18,29.5,-11,3,-11,4681,5.2,G5,0.056,0.055,0.053,0.007,6; 23,11,30
942,Epsilon 1 Lyra( p),18,41,39,34,,,5.1,,0.053,0.013,0.025,0.013,4; 17,,35
943,Epsilon 1 Lyra( f),18,41,39,34,,,6,,0.057,0.005,0.015,0.02,5; 21,,33
,Mean,,,,,39,3509,,A3,,,,0.016,4,,
944,Epsilon 2 Lyra( p),18,41.1,39,30,,,5.1,,,,0.013,0.027,6; 25,,
945,Epsilon 2 Lyra( f),18,41.1,39,30,,,5.4,,,,0.016,0.014,7; 27,,33
,Mean,,,,,39,3510,,A5,0.065,0.02,0.014,0.02,4; 17,10.9,33
946,28 Aqil,19,15,12,11,12,3879,5.4,F0,0.017,0.003,0.001,-0.001,6; 21,10.7,27
947,4 Vulp,19,21.1,19,36,19,4010,5.3,K0,0.016,0.08,0.1,-0.006,6; 22,11.1,28
948,37 Aqil,19,29.6,-10,47,-10,5122,5.2,G5,0.007,0.006,0.006,-0.001,4; 16,10.4,29
949,Grb 2907,19,36.4,54,44,54,2193,5.9,F5,0.176,0.05,0.049,0.033,5; 20,11.1,27
950,Grb 2925,19,40.4,41,32,41,3469,6,K5,0.021,0.02,0.021,0.012,6; 23,10.5,28
951,Zeta Aqil,19,49.4,8,12,8,4261,4.9,K0,0.13,0.099,0.101,0.02,6; 23,11.2,28
952,18 Vulp,20,6.4,26,36,26,3815,5.5,A2,0.009,0.004,0.016,-0.005,5; 19,10.2,28
953,40 Cygn,20,23.9,38,7,37,3941,5.4,A0,0.074,-0.015,-0.022,0.016,6; 22,10.7,28
954,1 Aqar,20,34.3,0,8,0,4064,5.4,K0,0.097,0.096,0.044,0.009,6; 22,11.4,30
955,Brad 2738,20,57,59,3,58,2201,5.8,K2,0.051,0.051,0.055,-0.002,6; 24,9.6,31
956,Sigma 2762,21,4.4,29,48,29,4324,5.9,A0,0.032,0.026,0.024,-0.013,7; 26,10.4,27
957,Grb 3441,21,18.5,48,58,48,3357,5.9,K0,0.074,0.042,0.037,0.008,7; 26,9.9,28
958,5 Pegs,21,33.1,18,52,18,4827,5.3,F0,0.103,0.102,0.073,0.001,5; 17,10.8,30
959,Lamda Capr,21,41.2,-11,50,-12,6087,5.4,A0,0.029,0.026,0.041,-0.011,8; 29,10.7,28
960,Alpha Aqar,22,0.6,0,48,-1,4246,3.2,G0,0.019,0.017,0.013,-0.001,6; 21,9.8,27
961,20 Ceph,22,2,62,18,62,2029,5.4,K5,0.063,0.013,0.008,-0.008,5; 19,10.1,27
962,60 Pegs,23,7,26,18,26,4580,6.4,K0,0.228,-0.191,-0.193,0.021,3; 13,10.9,27
963,Lal 45680,23,15.1,-4,28,-4,5868,6.6,F2,0.306,0.287,0.293,0.016,6; 24,11.2,29
964,Alpha Andr,0,3.2,28,32,28,4,2.2,A0p,0.213,0.143,0.124,0.026,7; 30,10.4,31
965,112 Pisc,1,54.9,2,37,2,311,5.8,G0,0.33,0.235,0.211,0.028,4; 17,11.4,29
966,Sigma 305,2,41.8,18,57,18,347,7,G0,0.176,0.094,0.092,0.033,5; 20,10.6,28
967,Delta Erid,3,38.5,-10,6,-10,728,3.7,K0,0.749,-0.092,-0.1,0.11,4; 18,10.5,30
968,Rad 1042,3,38.8,70,34,70,257,5.4,A0,0.07,0.037,0.024,0.009,4; 17,9.6,28
969,Lal 8840,4,37.4,27,30,27,688,8,K0,0.307,0.062,0.051,0.043,4; 16,12.1,28
970,16 Caml,5,14.9,57,27,57,879,5.2,A0,0.067,0.027,0.027,0.016,4; 16,10.8,28
971,60 Orio,5,53.7,0,33,0,1239,5.2,A0,0.009,-0.009,-0.019,-0.007,5; 23,11.6,27
972,50 Auri,6,32.2,42,35,42,1585,5.1,G5,0.061,0.007,0.007,0,3; 13,10.4,27
973,Lal 13627,6,57,-5,35,-5,1926,5.4,K5,0.01,0.01,-0.012,-0.005,5; 24,10.1,28
974,22 Mono,7,6.8,0,20,0,1636,4.1,A0,0.013,0.006,0.003,0.011,3; 12,10.8,26
975,24 Lync,7,34.5,58,57,59,1103,5,A2,0.068,-0.03,-0.049,0.014,5; 21,11.3,23
976,35 Lync,8,45.2,44,6,44,1794,5.2,G5,0.037,0.002,-0.014,0.013,5; 19,11,27
977,Lal 17507,8,47.6,9,34,9,2076,8.4,G0,0.28,0.091,0.122,0.006,5; 20,10.3,30
978,Fed    1457,9,7.6,53,7,53,1320,8.1,K2,1.68,-1.566,-1.558,0.168,6; 25,11.5,31
979,Fed    1458,9,7.6,53,7,53,1321,5.4,K2,1.686,-1.542,-1.55,0.162,6; 24,11.5,31
,Mean,,,,,,,,,,,,0.165,4,,
980,Lal 20142,10,18.1,6,12,6,2301,6.5,F2,0.246,-0.238,-0.271,0.005,7; 25,11.1,30
981,Xi Virg,11,40.1,8,49,9,2545,5.1,A3,0.07,0.065,0.074,0.033,5;20,11.1,29
982,13 Coma,12,19.3,26,39,26,2344,5.1,A2,0.029,-0.02,-0.011,0.001,5; 18,10.9,30
983,8    Drac,12,51.5,65,59,66,778,5.3,F0,0.033,-0.001,0.019,0.027,5; 22,11.2,29
984,20 C Ven,13,13.1,41,6,41,2380,4.7,F0,0.125,-0.122,-0.115,0.02,5; 18,10.9,28
985,Tau Virg,13,56.6,2,2,2,2761,4.3,A2,0.032,0.022,0.038,0.015,4; 16,10,29
986,Beta U Min,14,51,74,35,74,595,2.2,K5,0.028,-0.027,-0.027,0.026,4; 17,11.5,32
987,16 Libr,14,52,-3,56,-3,3696,4.6,F0,0.192,-0.097,-0.084,0.038,5; 18,10.3,29
988,3 Serp,15,10.2,5,19,5,2985,5.4,K0,0.023,-0.018,-0.002,0.014,5; 20,10.7,31
989,Gamma U Min,15,20.9,72,11,72,679,3.1,A2,0.17,-0.009,0,-0.01,6; 26,11.2,33
990,D' Ag 4302,16,26.2,20,42,20,3283,5.3,G5,0.095,-0.063,-0.083,-0.003,6; 22,11.1,31
991,101 Herc,18,4.6,20,2,20,3675,5.2,A3,0.027,0.001,0,0.006,6; 25,9.9,30
992,Epsilon Scut,18,38.1,-8,22,-8,4686,5.1,G5,0.022,0.022,0.022,0.013,4; 16,11.1,31
993,50 Drac,18,49.6,75,19,75,682,5.4,A0,0.078,-0.015,-0.01,0.003,5; 19,11.4,32
994,59 Drac,19,12.8,76,24,76,717,5.1,F0,0.135,0.048,0.058,0.043,5; 19,10.9,28
995,Lal 36313,19,13.5,0,15,0,4166,6.7,F0,,,0.014,0.009,5; 17,11.1,30
996,24 Aqil,19,13.7,0,9,0,4170,6.5,K0,0.009,0,0.029,0.007,5; 18,11.6,31
997,Rukr 7295,19,13.7,25,11,25,3780,8.4,G,0.27,0.149,0.156,0.024,4; 16,11.4,28
998,42 Aqil,19,32.5,-4,52,-4,4861,5.5,F2,0.121,0.105,0.087,0.024,4; 17,10.9,29
999,10 Vulp,19,39.6,25,32,25,3933,5.4,G5,0.015,0.009,0.011,0.02,5; 22,10.5,32
1000,14 Sgte,19,58.9,15,45,15,4033,5.5,A0,0.013,0.013,0.012,0,4; 17,10.7,29
1001,Pi 20h43,20,9.3,6,17,6,4479,8,G,0.169,-0.161,-0.139,-0.013,5; 20,11.3,28
1002,Pi 20h44,20,9.3,6,17,6,4480,7.8,G5,0.67,-0.158,-0.142,-0.003,6; 23,11.3,29
,Mean,,,,,,,,,,,,-0.009,4,,
1003,3 Aqar,20,42.5,-5,24,-5,5378,4.6,Ma,0.039,-0.003,0.007,0.003,5; 19,10.5,31
1004,32 Vuip,20,50.3,27,41,27,3.911,5.2,K5,0.009,-0.005,-0.024,-0.001,6; 22,10.8,28
1005,"Sigma 2779, s",21,10.1,28,40,,,8.5,,,,0.025,-0.005,5; 21,11,31
1006,"Sigma 2779, n",21,10.1,28,40,,,8.5,,,,-0.009,-0.011,5; 20,11,31
,Mean,,,,,28,4031,,,,,,-0.008,4,,
1007,Sigma 2790,21,16.5,58,12,58,2249,5.8,K0,0.014,0.011,-0.021,0.001,4; 16,10,30
1008,VV Ceph,21,53.8,63,9,62,2007,5.4,Map,0.009,-0.007,-0.001,-0.002,5; 18,10.2,30
1009,Pi 22h129,22,8.4,34,7,33,4456,5.4,K0,0.047,0.023,0,0.001,6; 20,11.4,27
1010,Theta Agar,22,11.6,-8,17,-8,5845,4.3,K0,0.113,0.113,0.058,0.004,6; 21,10.7,29
1011,29 Ceph,22,29,78,19,78,801,5.5,A2,0.017,0.007,0.009,0.002,4; 16,11.1,26
1012,Beta 1266,23,25.5,30,18,30,4963,7.3,F5,,,0.055,-0.013,5; 20,10.4,29
