No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1443,4 Aqil,18,39.8,1,57,18h44m02.7962s,+02d03m01.2294s,1,3766.0,5,B5,0.02,0.004,0.008,-0.001,6;25,11.2,28
1444,Lal 36091,19,6.1,52,16,19h08m21.5708s,+52d25m39.2534s,52,2350.0,5.9,K0,0.121,-0.104,-0.104,0.001,4;14,11.9,31
1445,U Aqil,19,24.0,-7,15,19h29m22.9598s,-07d02m39.6709s,-7,4968.0,6.5,F8p,0.018,0.018,-0.006,0.01,5;20,11.6,30
1446,S Sgte,19,51.5,16,22,19h55m32.5414s,+16d37m50.9215s,16,4067.0,5.8,G0p,0.007,-0.001,0.001,0.007,5;18,11.6,30
1447,Theta Aqil,20,6.1,-1,7,20h11m09.2999s,-00d49m13.4299s,-1,3911.0,3.4,A0,0.034,0.034,0.023,-0.006,4;18,11.2,32
1448,Eta Dlph,20,29.2,12,41,20h33m43.3046s,+13d01m29.7563s,12,4378.0,5.2,A2,0.072,0.067,0.057,0.005,4;17,11.9,31
1449,Sigma 2735,20,50.7,4,9,20h54m59.9841s,+04d31m50.3361s,3,4461.0,6.3,G0,0.065,0.064,0.07,-0.014,5;21,10.6,33
1450,4 Lacr,22,20.5,48,58,22h24m03.1552s,+49d28m24.2017s,48,3715.0,4.6,B8p,0.01,-0.01,0.001,-0.004,4;16,11.8,31
1451,28 Andr,0,24.8,29,12,00h29m16.1467s,+29d45m11.0557s,28,75.0,5.3,F0,0.069,0.042,0.038,-0.004,7;26,12.5,29
1452,31 Cass,1,3.9,68,15,01h09m44.355s,+68d47m01.1167s,68,77.0,5.3,A0,0.048,0.045,0.015,0.012,6;23,12.1,31
1453,Pi Pers,2,52.4,39,16,02h58m23.5482s,+39d40m06.8445s,39,681.0,4.6,A2,0.066,0.04,0.023,0.002,5;22,11.9,30
1454,Lal 7439,3,57.4,39,14,04h03m42.4443s,+39d30m39.6023s,39,918.0,7.2,G5,0.201,0.191,0.137,0.019,5;22,12.4,28
1455,109 Taur,5,13.3,22,0,05h19m00.5308s,+22d06m22.436s,21,816.0,5.1,K0,0.094,0.031,0.01,0.007,5;23,12.7,30
1456,T Mono,6,19.8,7,8,06h24m23.9747s,+07d04m50.4602s,7,1273.0,Var,G5p,0.018,0.018,0.009,0.0,5;21,11.8,31
1457,13 Mono,6,27.5,7,24,06h32m24.5135s,+07d19m40.8908s,7,1337.0,4.5,A0p,0.012,0.006,-0.004,0.008,4;18,12.1,30
1458,16 Lync,6,50.3,45,13,06h57m18.0737s,+45d05m14.9823s,45,1367.0,4.8,A2,0.024,-0.024,-0.013,0.004,5;23,12.3,31
1459,20 Mono,7,5.3,-4,5,07h09m58.076s,-04d14m41.7897s,-4,1840.0,5,K,0.218,0.003,-0.001,0.038,5;20,12.2,32
1460,Epsilon C min,7,20.2,9,28,07h25m28.0139s,+09d16m11.9506s,9,1643.0,5.1,G5,0.018,-0.004,-0.002,-0.004,5;22,12.2,30
1461,22 Lync,7,22.3,49,53,07h29m34.482s,+49d40m47.0142s,49,1630.0,5.4,F5,0.145,0.118,0.116,0.042,6;24,12.4,30
1462,11 C Min,7,40.8,11,1,07h45m30.5695s,+10d46m31.027s,11,1670.0,5.3,A0,0.024,-0.018,-0.021,0.017,5;20,12.1,30
1463,10 Canc,8,1.9,21,52,08h06m53.0333s,+21d34m47.9743s,22,1862.0,5.4,G0,0.084,0.027,0.02,0.032,5;21,12.5,30
1464,Lal 16284,8,16.2,53,32,08h23m34.7439s,+53d12m51.6884s,53,1246.0,5.6,A2,0.112,-0.023,-0.025,0.025,5;21,12.2,30
1465,Nu Leon,9,52.8,12,55,09h57m23.0183s,+12d26m27.6458s,13,2183.0,5.2,A0,0.039,-0.028,-0.011,0.012,5;20,12,31
1466,44 U Maj,10,47.5,55,7,10h53m04.4316s,+54d35m08.0893s,55,1418.0,5.4,K0,0.072,-0.07,-0.04,0.013,5;18,12,31
1467,21 C Ven,13,14.0,50,12,13h18m15.5645s,+49d40m25.0046s,50,1994.0,5.1,A0,0.026,-0.024,-0.014,0.013,6;24,12.1,31
1468,82 U Maj,13,35.6,53,26,13h38m54.1041s,+52d55m32.124s,53,1640.0,5.3,A2,0.151,-0.14,-0.131,0.006,6;23,12.1,31
1469,Iota Boot,14,12.6,51,50,14h15m34.4497s,+51d22m07.3809s,52,1784.0,4.8,A5,0.167,-0.142,-0.145,0.041,7;24,12.3,31
1470,Lal 27083,14,46.5,37,41,14h49m58.8316s,+37d16m10.2548s,37,2580.0,5.5,K0,0.228,-0.211,-0.209,0.023,8;26,12.1,30
1471,Psi Boot,15,0.2,27,20,15h04m18.4967s,+26d56m35.9413s,27,2447.0,4.7,KU,0.174,-0.173,-0.185,0.013,7;27,12.3,31
1472,22 Serp,15,37.4,18,47,15h41m30.581s,+18d27m44.8983s,18,3059.0,5.8,A3,0.087,-0.075,-0.057,0.017,6;21,12.3,30
1473,Omega Serp,15,45.2,2,30,15h50m02.7978s,+02d11m44.7456s,2,3007.0,5.3,K0,0.065,0.036,0.037,0.021,6;22,12.3,31
1474,Lambda Cor B,15,52.2,38,14,15h55m38.1239s,+37d56m31.2579s,38,2712.0,5.5,F2,0.087,0.048,0.042,0.04,5;18,12.2,30
1475,Grb 2296,15,55.4,55,2,15h57m24.3675s,+54d44m49.0827s,55,1793.0,5,A5,0.192,-0.157,-0.139,0.016,4;14,12.3,31
1476,Lal 29641,16,6.0,68,4,16h06m17.5551s,+67d48m04.5824s,68,864.0,5.4,A0,0.068,-0.033,-0.043,0.005,6;21,12.2,31
1477,30 Herc,16,25.4,42,6,16h28m16.9427s,+41d52m45.8304s,42,2714.0,5,Mb,0.031,0.026,0.036,0.016,5;17,12.4,30
1478,Grb 2369,16,36.0,56,13,16h38m01.2783s,+56d01m09.8819s,56,1907.0,5.4,G5,0.084,-0.01,0.004,0.012,6;21,12.2,30
1479,53 Herc,16,49.2,31,52,16h52m48.3134s,+31d42m04.7595s,31,2925.0,5.4,F0,0.095,-0.092,-0.086,0.007,7;25,12.1,29
1480,59 Herc,16,57.9,33,43,17h00m41.5984s,+33d34m11.4537s,33,2817.0,5.3,A2,0.012,0.004,0.013,0.017,6;22,12.3,30
1481,41 Ophi,17,11.5,0,20,17h16m06.7534s,+00d13m16.5671s,0,3255.0,4.8,K0,0.064,-0.024,-0.013,0.004,5;19,11.8,30
1482,Lal 31536,17,11.7,62,59,17h11m51.7977s,+62d51m58.3632s,63,1336.0,5.5,A3,0.048,0.014,0.019,0.01,5;20,12.2,30
1483,Lal 31694,17,18.4,40,4,17h21m16.9137s,+39d58m08.8321s,40,3136.0,5.7,F8,0.078,0.01,0.009,0.018,4;17,12,32
1484,27 Drac,17,32.4,68,12,17h31m36.3538s,+68d07m53.9946s,68,938.0,5.2,K0,0.137,-0.009,0.006,0.025,6;25,12,30
1485,83 Herc,17,38.4,24,37,17h42m06.4546s,+24d34m05.7781s,24,3231.0,5.6,K5,0.129,-0.059,-0.052,0.02,5;21,12.4,31
1486,Y Ophi,17,47.3,-6,7,17h52m21.7233s,-06d08m30.2046s,-6,4672.0,Var,G0p,0.012,0.003,-0.002,-0.011,5;19,12.5,31
1487,Lal 32707,17,48.4,6,7,17h52m53.1055s,+06d05m36.4499s,6,3566.0,5.8,F5,0.131,-0.109,-0.114,0.036,5;18,12.4,29
1488,89 Herc,17,51.4,26,4,17h55m02.0687s,+26d02m58.955s,26,3120.0,5.5,F5p,0.005,0.005,0.008,-0.008,6;22,12.5,32
1489,71 Ophi,18,2.5,8,43,18h06m46.8885s,+08d43m38.424s,8,3582.0,4.7,G5,0.025,0.004,0.014,0.016,5;19,12.1,29
1490,Eta Serp,18,16.1,-2,55,18h21m14.1208s,-02d52m17.3141s,-2,4599.0,3.4,K0,0.896,-0.562,-0.553,0.041,6;25,12.2,32
1491,Grb 2555,18,19.0,49,4,18h21m33.7594s,+49d06m57.1877s,49,2782.0,5.1,Ma,0.057,-0.018,-0.007,-0.001,6;24,12,32
1492,Lal 34575,18,33.0,33,23,18h36m40.1995s,+33d28m03.5424s,33,3154.0,5.5,B8,0.02,-0.02,-0.005,0.002,5;20,12.6,31
1493,Lal 35383,18,50.7,50,35,18h52m28.4852s,+50d42m24.4625s,50,2686.0,5,G5,0.033,0.005,0.011,0.021,4;16,12.2,31
1494,12 Lyra,18,51.0,36,46,18h54m29.9413s,+36d53m37.3451s,36,3319.0,4.5,Mb,0.007,-0.004,-0.003,-0.005,5;21,12.1,31
1495,Lal 35421,18,53.8,17,14,18h57m26.9661s,+17d21m58.3946s,17,3799.0,5.4,F5,0.009,0.001,0.005,-0.01,3;13,12.2,31
1496,29 Aqil,19,15.2,11,21,19h19m41.8641s,+11d32m03.7968s,11,3802.0,6,A2,0.041,0.036,0.051,-0.001,6;21,12.3,30
1497,Bo 12989,19,23.6,49,14,19h25m42.2502s,+49d26m01.2866s,49,3009.0,8,K0,0.845,0.461,0.47,0.045,5;19,12.4,31
1498,Rho Drac,20,2.4,67,35,20h02m26.4361s,+67d51m59.1388s,67,1222.0,4.7,K0,0.051,0.02,0.02,0.024,5;20,12.1,31
1499,Lal 39176,20,18.2,5,1,20h22m57.4836s,+05d20m13.2333s,4,4434.0,5.4,K0,0.053,-0.027,-0.026,0.0,6;24,12.4,31
1500,73 Drac,20,32.8,74,37,20h30m39.2223s,+74d57m29.6433s,74,872.0,5.2,A2p,0.019,0.014,-0.001,0.008,5;20,12,32
1501,16 Aqar,21,15.8,-4,59,21h20m14.6462s,-04d33m37.8354s,-5,5524.0,6,K0,0.023,-0.022,-0.016,0.013,6;23,12.4,31
1502,Lal 41808,21,23.5,52,28,21h26m17.4382s,+52d54m01.4279s,52,2939.0,6,B8,0.028,0.027,0.017,0.015,5;19,12.3,30
1503,25 Aqar,21,34.5,1,48,21h39m04.6178s,+02d15m04.5201s,1,4517.0,5.3,K0,0.089,-0.027,-0.05,0.001,5;17,12.1,29
1504,16 Pegs,21,48.5,25,27,21h52m32.9185s,+25d55m11.9501s,25,4635.0,5,B3,0.004,0.004,0.002,-0.003,7;26,12.1,32
1505,Gamma Aqar,22,16.5,-1,53,22h21m09.0173s,-01d22m48.524s,-2,5741.0,4,A0,0.126,0.126,-0.12,0.034,5;19,12.2,29
1506,RZ Ceph,22,35.7,64,20,22h38m27.3934s,+64d51m13.7316s,64,1694.0,Var,A,0.197,0.083,0.09,-0.005,6;22,12.2,32
1507,Lal 44708,22,46.4,13,26,22h50m57.3862s,+13d57m47.7651s,13,5006.0,8,K0,0.476,0.426,0.399,0.04,6;24,12,30
1508,Lal 44920,22,53.5,8,50,22h58m01.4427s,+09d22m05.752s,8,4973.0,6.5,G0,0.425,0.396,0.374,0.04,6;20,12.3,31
1509,8 Andr,23,13.1,48,28,23h17m37.8759s,+49d00m46.6048s,48,3991.0,5,Ma,0.04,0.04,0.033,0.01,6;22,12.3,30
1510,Psi Andr,23,41.1,45,52,23h45m57.3703s,+46d25m19.3747s,45,4321.0,5.1,K0p,0.025,0.015,0.033,-0.001,6;22,12.5,30
1511,Lal 595,0,22.9,43,50,00h27m21.3111s,+44d23m12.9682s,43,92.0,5.2,A2,0.104,0.102,0.093,0.007,4;14,12.2,30
1512,45 Andr,1,5.5,37,12,01h10m37.2519s,+37d43m57.4691s,36,201.0,5.75,B8,0.021,-0.02,-0.012,-0.001,4;16,11.9,29
1513,Xi Andr,1,16.4,45,0,01h21m52.9299s,+45d31m26.8332s,44,287.0,5,1C0,0.043,0.043,0.036,0.021,4;16,12.4,30
1514,62 Andr,2,12.8,46,55,02h18m27.5412s,+47d22m45.6299s,46,552.0,5.1,A0,0.057,-0.056,-0.059,0.01,4;19,12.1,31
1515,Lal 6109,3,14.8,48,43,03h21m03.6655s,+49d04m44.9909s,48,893.0,6.2,F5,0.21,0.199,0.18,0.013,5;22,12,30
1516,Lal 6723,3,37.3,63,2,03h45m44.9345s,+63d20m59.935s,62,604.0,5,F5,0.015,0.004,-0.003,-0.004,6;27,12.2,32
1517,122 Taur,5,31.3,16,59,05h36m48.0181s,+17d02m47.7728s,16,822.0,5.4,A5,0.066,0.056,0.046,0.026,4;19,12.3,30
1518,55 Auri,6,35.8,44,37,06h42m17.1687s,+44d31m23.5748s,44,1518.0,5.2,K5,0.054,-0.037,-0.042,0.016,4;19,12.4,30
1519,Lal 14028,7,10.9,49,39,07h17m36.1413s,+49d28m25.5524s,49,1612.0,4.8,A2,0.009,-0.005,-0.006,0.007,4;19,12.3,31
1520,63 Gemi,7,21.8,21,39,07h26m56.6612s,+21d27m01.8236s,21,1602.0,5.3,F5,0.131,-0.051,-0.044,0.028,4;18,12.3,30
1521,Pi Gemi,7,41.1,33,40,07h47m26.9845s,+33d25m19.4538s,33,1585.0,5.3,K2,0.039,0.006,-0.018,0.01,4;18,12.4,31
1522,85 Gemi,7,49.8,20,9,07h54m50.3873s,+19d53m19.4994s,20,1946.0,5.4,A0,0.046,-0.008,-0.004,0.004,4;19,12.2,32
1523,19 Pupp,8,6.6,-12,38,08h10m41.702s,-12d55m44.8669s,-12,2385.0,4.7,K0,0.024,-0.021,-0.021,0.026,5;22,12.3,30
1524,20 Canc,8,17.6,18,39,08h22m44.0099s,+18d19m51.1503s,18,1930.0,5.9,F0,0.061,-0.053,-0.052,0.008,4;17,12.8,30
1525,81 U Maj,13,30.3,55,52,13h33m51.1519s,+55d21m14.5221s,56,1667.0,5.5,A0p,0.017,-0.015,-0.006,0.008,4;15,12.1,30
1526,86 U Maj,13,50.2,54,13,13h53m41.2342s,+53d43m29.4181s,54,1630.0,5.6,A0,0.022,-0.017,-0.008,0.007,5;20,12.2,30
1527,13 Boot,14,4.6,49,56,14h07m45.1335s,+49d27m30.2491s,50,2047.0,5.4,Ma,0.067,-0.047,-0.034,0.019,6;22,12.2,30
1528,Lal 26031,14,7.2,2,53,14h12m04.0764s,+02d24m47.176s,3,2867.0,4.9,A0p,0.056,-0.028,-0.033,0.007,6;21,12.1,29
1529,33 Boot,14,35.1,44,50,14h38m44.0117s,+44d24m06.9331s,45,2204.0,5.4,A0,0.075,-0.07,-0.054,0.006,7;25,12.6,30
1530,47 Boot,15,2.1,48,32,15h05m19.4924s,+48d08m45.379s,48,2262.0,5.6,A0,0.06,-0.058,-0.037,0.021,6;21,12.2,30
1531,Pi 136,15,29.5,64,33,15h30m26.4972s,+64d12m37.7247s,64,1074.0,5.9,G5,0.131,-0.106,-0.094,0.0,5;19,12.1,30
1532,Pi Serp,15,58.0,23,5,16h02m18.3738s,+22d48m18.8817s,23,2886.0,4.8,A2,0.019,0.011,0.027,0.005,5;18,12.1,30
1533,Grb 2328,16,16.5,39,57,16h19m26.8399s,+39d42m34.8337s,40,3005.0,5.5,F2,0.107,-0.106,-0.125,0.038,6;20,12.3,30
1534,W B 394,16,23.5,0,53,16h28m05.7374s,+00d39m37.065s,0,3529.0,5.5,K2,0.075,0,0.008,0.004,7;25,12.3,35
1535,Grb 2377,16,43.4,56,58,16h44m53.7435s,+56d47m06.9415s,57,1702.0,4.9,F0,0.065,0.031,0.037,0.04,7;25,12.2,30
1536,Nu Serp,17,15.2,-12,45,17h20m37.2386s,-12d51m06.9183s,-12,4722.0,4.4,A0,0.04,0.04,0.045,0.021,7;25,11.8,30
1537,Lal 31568,17,15.9,18,10,17h19m24.4281s,+18d03m47.8654s,18,3351.0,5.2,Ma,0.052,0.011,0.015,0.005,6;24,12.5,31
1538,Lal 32012,17,29.0,19,20,17h33m20.9608s,+19d15m48.5592s,19,3354.0,5.6,F5,0.094,-0.023,-0.013,0.029,6;21,12.2,32
1539,Grb 2444,17,29.9,41,19,17h32m11.0241s,+41d14m43.5007s,41,2850.0,5.8,K0,0.104,-0.075,-0.063,0.014,5;21,12.4,31
1540,82 Herc,17,34.0,48,39,17h36m36.5743s,+48d35m24.4347s,48,2542.0,5.5,K0,0.059,0.027,0.025,0.016,4;18,12.1,32
1541,93 Herc,17,55.6,16,45,17h59m27.1775s,+16d44m35.7633s,16,3335.0,4.7,K0,0.01,-0.003,0.0,0.0,5;18,11.9,30
1542,98 Herc,18,1.8,22,13,18h05m12.799s,+22d13m27.1941s,22,3273.0,5.3,Ma,0.02,-0.014,-0.014,0.013,5;20,12.1,30
1543,Lal 33402,18,4.6,36,23,18h07m28.9249s,+36d23m50.2321s,36,3027.0,5.7,K0,0.211,-0.083,-0.094,0.008,5;19,12.3,31
1544,108 Herc,18,17.1,29,49,18h20m50.9892s,+29d51m45.3648s,29,3241.0,5.5,A2,0.058,0.011,-0.003,0.009,4;16,12.2,31
1545,Lal 34817,18,35.9,65,24,18h35m18.3479s,+65d29m06.306s,65,1283.0,6,A3,0.083,0.014,0.023,0.006,4;16,12.1,30
1546,Lal 34853,18,40.1,31,50,18h43m45.6398s,+31d56m04.3023s,31,3348.0,5.5,F0,0.145,-0.029,-0.031,0.023,5;18,12.2,30
1547,Lal 37334,19,33.5,44,28,19h36m06.7502s,+44d41m23.8168s,44,3185.0,5.2,G5,0.142,-0.088,-0.098,0.016,4;17,11.9,32
1548,29 Cygn,20,10.8,36,30,20h13m43.9618s,+36d48m10.8211s,36,3955.0,5,A0,0.096,0.069,0.067,0.031,5;20,12.2,31
1549,17 Dlph,20,50.9,13,20,20h54m43.915s,+13d42m49.4815s,13,4572.0,5.4,K0,0.027,0.017,0.015,0.015,4;16,12.4,30
1550,Lal 41541,21,17.1,39,56,21h20m54.5411s,+40d21m29.7276s,39,4529.0,6.5,F8,0.21,-0.012,0.004,0.034,4;16,12.4,31
1551,76 Cygn,21,37.5,40,21,21h41m01.3373s,+40d48m17.1009s,40,4611.0,6,A0,0.049,-0.007,-0.004,0.011,6;21,12.2,32
1552,15 Pegs,21,48.0,28,20,21h52m28.3534s,+28d48m11.772s,28,4215.0,5.6,F5,0.094,-0.056,-0.048,0.037,4;17,12.2,32
1553,27 Pegs,22,4.8,32,41,22h08m26.1628s,+33d10m22.5835s,32,4349.0,5.6,K0,0.092,-0.054,-0.079,0.005,5;18,12.6,30
1554,Grb 3719,22,8.4,69,38,22h10m17.7466s,+70d07m34.677s,69,1228.0,5.5,F2,0.055,-0.053,-0.126,0.034,4;16,12.3,30
1555,Omicron Pegs,22,37.1,28,47,22h41m41.8069s,+29d18m21.7418s,28,4436.0,4.8,A0,0.037,-0.004,0.004,0.017,7;27,12.2,30
1556,Grb 3904p,,,,,0,0,,,7.1,,,,0.07,0.026,4;16,,30
1557,Grb 3904f,,,,,0,0,,,7.1,,,,0.074,0.002,6;24,,30
,Mean,22,45.6,68,2,22h48m21.7928s,+68d33m42.8959s,67,1468.0,6.4,F5,0.126,0.108,,0.014,4,12.4,
1558,15 Lacr,22,47.5,42,47,22h51m29.4585s,+43d18m49.8165s,42,4521.0,5.2,K5,0.109,0.108,0.105,0.02,5;21,12.4,31
1559,Lal 45193,23,1.3,17,59,23h05m56.6259s,+18d31m23.9187s,17,4866.0,6.1,F2,0.234,0.228,0.225,0.014,5;20,12.3,32
1560,4 Cass,23,20.4,61,44,23h24m26.1284s,+62d16m57.4076s,61,2444.0,5.2,K5,0.017,0.014,0.011,0.007,5;21,12.4,30
1561,Chi Andr,1,33.3,43,53,01h39m00.133s,+44d23m31.2675s,43,343.0,5.2,G5,0.026,-0.022,-0.028,0.006,6;25,12.6,30
1562,Tau Pers,2,47.2,52,21,02h54m05.5913s,+52d45m34.7011s,52,641.0,4.1,G0,0.004,0.002,0.003,0.008,4;19,12,31
1563,Lal 6119,3,14.3,28,41,03h20m03.2005s,+29d02m48.3242s,28,516.0,4.7,K5,0.014,0.001,-0.023,-0.011,5;20,12.5,30
1564,5 Taur,3,25.4,12,36,03h30m31.2386s,+12d56m35.783s,12,486.0,4.3,K0,0.022,0.022,0.023,-0.017,5;20,12.6,32
1565,Lal 7820,4,8.9,53,22,04h15m48.2327s,+53d37m10.826s,53,750.0,5.1,A2,0.009,-0.009,-0.013,0.006,4;19,12.1,32
1566,Mu Auri,5,6.6,38,22,05h12m50.8426s,+38d29m18.7754s,38,1063.0,4.8,A3,0.078,-0.016,-0.019,0.017,4;20,12.1,30
1567,39 Gemi,6,52.6,26,13,06h58m11.1154s,+26d05m02.7267s,26,1405.0,6.1,F5,0.187,-0.164,-0.163,0.022,5;21,12.1,30
1568,Beta L Min,10,22.1,37,13,10h27m47.9288s,+36d42m25.5267s,37,2080.0,4.4,K0,0.162,-0.119,-0.103,0.024,7;27,12,30
1569,Fed 2135,12,39.7,52,19,12h43m36.6761s,+51d46m07.8917s,52,1650.0,7,K0,0.437,-0.391,-0.359,0.06,4;17,12.2,32
1570,Lal 25135,13,30.5,23,0,13h34m45.4114s,+22d29m16.0763s,23,2587.0,7,F5,0.278,-0.257,-0.235,0.029,6;21,12.6,29
1571,10 Boot,13,54.0,22,11,13h58m41.218s,+21d41m48.2203s,22,2650.0,5.4,A0,0.053,-0.011,0.033,0.008,8;27,12.2,30
1572,Cin 1913,14,28.7,9,47,14h32m53.6462s,+09d20m32.052s,10,2703.0,8.9,G5,0.542,0.164,0.161,0.024,5;19,12.3,29
1573,34 Boot,14,39.0,26,57,14h43m23.8423s,+26d31m31.1704s,27,2413.0,4.9,Ma,0.023,-0.012,-0.009,0.0,7;24,12.5,30
1574,4 Serp,15,10.7,0,45,15h15m06.4069s,+00d22m42.2859s,0,3327.0,5.6,A3,0.111,-0.111,-0.083,0.016,7;22,12.3,28
1575,50 Boot,15,17.8,33,17,15h21m00.884s,+32d55m24.8492s,33,2581.0,5.4,B9,0.056,-0.055,-0.037,-0.001,7;22,12.3,30
1576,14 Cor B,15,57.4,30,8,16h01m00.7532s,+29d51m10.2024s,30,2738.0,4.9,A0,0.034,-0.031,-0.047,0.003,7;22,12.3,28
1577,Grb 2305,15,1.5,39,26,15h04m49.2349s,+39d02m40.6659s,39,2947.0,6.8,G5,57.2,-0.57,-0.569,0.077,5;20,12.4,31
1578,18 Scor,16,10.2,-8,6,16h15m24.6272s,-08d21m04.5461s,-7,4242.0,5.6,G0,0.556,0.227,0.236,0.047,7;24,11.9,30
1579,Pi 182,16,31.3,79,11,16h25m29.7317s,+78d57m58.5485s,79,498.0,5.5,A3,0.156,-0.112,-0.09,0.017,5;19,12.2,30
1580,47 Herc,16,45.5,7,25,16h49m51.051s,+07d14m35.7894s,7,3256.0,5.5,A0,0.051,0.049,0.063,0.022,7;24,12.3,32
1581,Pi 71,17,16.1,25,38,17h20m04.4766s,+25d31m55.033s,25,3246.0,5.3,A2,0.027,0.018,0.027,0.006,5;20,12.2,30
1582,Br 2245,17,48.8,40,0,17h51m15.4144s,+39d58m29.3353s,40,3228.0,6.1,K0,0.05,-0.017,-0.008,0.012,6;23,12.3,31
1583,68 Ophi,17,56.7,1,18,18h01m04.3585s,+01d17m47.2196s,1,3560.0,4.4,A2,0.018,0.01,0.014,0.011,6;24,11.9,31
1584,Grb 2535,18,12.7,45,10,18h14m53.1218s,+45d11m57.5349s,45,2684.0,6.3,G0,0.135,-0.072,-0.069,0.044,6;25,12.5,32
1585,105 Herc,18,15.1,24,24,18h19m06.8751s,+24d26m29.0794s,24,3381.0,5.5,K5,0.009,0.008,0.015,-0.013,6;22,12.5,31
1586,Lal 34288,18,26.4,20,45,18h30m17.0464s,+20d49m05.554s,20,3821.0,6.6,G5,0.261,0.006,0.03,0.026,5;19,12.4,31
1587,Lal 36715,19,21.8,12,49,19h25m38.7442s,+13d00m52.8704s,12,3907.0,5.8,F5,0.059,0.006,0.011,0.032,6;22,12.6,29
1588,Grb 2935,19,41.3,57,46,19h42m55.1844s,+58d00m22.7233s,57,2057.0,6.3,F8,0.148,0.134,0.129,0.043,5;20,12.2,31
1589,Grb 2961,19,49.5,38,30,19h52m32.8256s,+38d45m31.6386s,38,3801.0,8,G5,0.342,-0.039,-0.042,0.017,5;21,12.4,32
1590,35 Cygn,20,14.8,34,40,20h17m50.3026s,+34d58m40.3892s,34,3967.0,5.2,F5p,0.009,0.001,0.0,0.004,5;20,12.2,31
1591,Br 2726,20,54.7,44,5,20h57m33.566s,+44d28m11.1409s,43,3777.0,5.8,K0,0.126,0.103,0.093,0.015,5;18,12.6,31
1592,Grb 3409,21,5.8,71,2,21h05m35.7521s,+71d26m09.9281s,70,1164.0,6,F2,0.122,-0.056,-0.042,0.028,6;22,12.5,32
1593,Pi 153,21,23.9,31,47,21h27m15.1532s,+32d13m04.0529s,31,4462.0,5.7,F0,0.144,0.122,0.138,0.018,5;19,12.4,30
1594,Lal 42677,21,47.9,41,53,21h51m02.0313s,+42d21m06.0302s,41,4291.0,7.8,G5,0.353,-0.163,-0.172,0.044,5;21,12.4,30
1595,20 Pegs,21,56.2,12,38,22h00m51.9355s,+13d06m49.1373s,12,4737.0,5.7,F2,0.075,0.053,0.046,0.034,7;28,12.2,30
1596,Lal 43205,22,3.1,52,39,22h06m42.3151s,+53d08m16.8703s,52,3112.0,7.9,K0,0.637,-0.543,-0.529,0.038,5;20,12.5,33
1597,Eta Aqar,22,30.2,0,38,22h35m06.6125s,+01d09m00.4374s,0,4384.0,4.1,B8,0.096,0.087,0.087,0.022,6;22,12.1,30
1598,Grb 3858,22,37.1,41,1,22h41m26.8913s,+41d32m21.3681s,40,4885.0,6.1,K0,0.159,0.145,0.135,-0.002,4;14,12.5,29
1599,64 Pegs,23,17.0,31,16,23h21m52.9474s,+31d48m53.2756s,31,4897.0,5.4,B8,0.01,0.001,0.003,-0.005,5;21,12.3,29
1600,Psi Pegs,23,52.7,24,35,23h57m05.9151s,+25d08m24.0132s,24,4865.0,4.8,Ma,0.049,-0.04,-0.039,0.003,5;21,12.1,32
1601,WB 1377,0,3.5,36,4,00h08m09.7826s,+36d37m23.9846s,35,8.0,6.1,F5,0.179,-0.105,-0.111,0.044,4;16,12.4,31
1602,Psi Cas,1,18.9,67,36,01h25m01.7727s,+68d07m19.1265s,67,123.0,5,K0,0.083,0.077,0.077,0.011,7;26,12.6,32
1603,12 Per,2,35.9,39,46,02h41m18.7277s,+40d11m45.9105s,39,610.0,5,G0,0.187,-0.014,-0.019,0.042,4;17,12.4,32
1604,Rho Per,2,58.8,38,27,03h04m23.341s,+38d50m30.0402s,38,630.0,Var,Mb,0.169,0.132,0.126,-0.001,6;27,12.3,33
1605,Beta Cam,4,54.5,60,18,05h02m53.9651s,+60d26m51.91s,60,856.0,4.2,G0p,0.015,-0.002,-0.008,0.002,6;28,12,32
1606,Iota Tau,4,57.1,21,27,05h02m58.2921s,+21d35m38.9272s,21,751.0,4.7,A5,0.08,0.067,0.065,0.02,6;29,12,34
1607,Lal. 10940,5,41.4,1,8,05h46m10.0704s,+01d10m23.4419s,1,2226.0,6.1,G5,0.165,-0.073,-0.077,0.027,4;19,12.7,30
1608,31 Cam,5,46.0,59,52,05h54m57.5299s,+59d53m23.2308s,59,920.0,5.3,A0,0.02,0.004,-0.001,0.007,4;18,12.3,32
1609,36 Cam,6,2.8,65,44,06h12m03.5741s,+65d42m58.4968s,65,517.0,5.4,K0,0.031,0.11,0.006,0.001,5;23,12.2,30
1610,Lal. 11803,6,7.6,10,40,06h12m32.5065s,+10d38m34.541s,10,1050.0,6.5,G5,0.301,0.094,0.082,0.054,4;17,12,31
1611,Pi. 132,7,39.8,80,31,07h55m51.6713s,+80d15m54.058s,80,238.0,6.5,G5,0.482,-0.476,-0.478,0.075,5;24,12.2,32
1612,1 Hya,8,19.6,-3,26,08h24m00.542s,-03d45m20.5583s,-3,2333.0,5.7,F5,0.213,-0.211,-0.205,0.058,4;17,12.3,32
